Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
23/TKOF05/APCH,OTHER,23.0656666666667,72.6219166666667,181,NIL,Approach Light
23/TKOF05/APCH,TREE,23.0632777777778,72.6172222222222,228,NIL,Tree
23/TKOF05/APCH,TREE,23.0623611111111,72.6165,231,NIL,Group of Trees
23/TKOF05/APCH,TREE,23.0600277777778,72.6181666666667,237,NIL,Tree
23/TKOF05/APCH,TREE,23.0626666666667,72.6195555555556,221,NIL,Tree
23/TKOF05/APCH,OTHER,23.0654722222222,72.6205555555556,192,NIL,Mobile road traffic
23/TKOF05/APCH,TREE,23.0610555555556,72.6179722222222,229,NIL,Tree
23/TKOF05/APCH,TOWER,23.0579166666667,72.6126666666667,280,NIL,Chimney
23/TKOF05/APCH,OTHER,23.0627222222222,72.6203333333333,207,NIL,Light Pole
23/TKOF05/APCH,TREE,23.0626944444444,72.6202777777778,214,NIL,Group of trees
23/TKOF05/APCH,TREE,23.0637222222222,72.6179166666667,218,NIL,Group of trees
23/TKOF05/APCH,OTHER,23.0582222222222,72.6157777777778,264,NIL,Cellphone mast on Goverdhan Apartment
23/TKOF05/APCH,TREE,23.0603888888889,72.6141388888889,252,NIL,Group of trees
23/APCH05/TKOF,WALL,23.0893055555556,72.6481944444445,205,NIL,Airport BDRY Wall with F/T
23/APCH05/TKOF,OTHER,23.0894444444444,72.648,207,NIL,Mobile road traffic
23/APCH05/TKOF,WALL,23.0897222222222,72.6477777777778,205,NIL,Airport B.Wall with F/T
23/APCH05/TKOF,TREE,23.0891944444444,72.6484444444445,227,NIL,Tree
23/APCH05/TKOF,TREE,23.0900833333333,72.6495,223,NIL,Tree
23/APCH05/TKOF,OTHER,23.0884166666667,72.6468611111111,190,NIL,Approach Light
23/APCH05/TKOF,OTHER,23.0886111111111,72.6470555555556,190,NIL,Approach Light
23/APCH05/TKOF,BUILDING,23.0893611111111,72.6491666666667,211,NIL,Shed
23/APCH05/TKOF,TREE,23.0925,72.6529722222222,244,NIL,Group of trees
23/APCH05/TKOF,OTHER,23.0896666666667,72.6476666666667,202,NIL,Iron sign board
In circling area and at AD,TREE,23.0621111111111,72.62025,220,NIL,Tree
In circling area and at AD,TREE,23.0662777777778,72.6197777777778,247,NIL,Group of trees
In circling area and at AD,WALL,23.0901666666667,72.6472777777778,204,NIL,Airport BDRY Wall with F/T
In circling area and at AD,TREE,23.0885277777778,72.64925,234,NIL,Group of trees
In circling area and at AD,ANTENNA,23.0871666666667,72.6438055555556,243,NIL,GP main antenna
In circling area and at AD,TREE,23.0853333333333,72.6464444444445,259,NIL,Group of trees
In circling area and at AD,TREE,23.0906944444444,72.6513888888889,239,NIL,Group of trees
In circling area and at AD,TREE,23.0843055555556,72.64525,253,NIL,Group of trees
In circling area and at AD,OTHER,23.09,72.6504722222222,216,NIL,OHWT on house
In circling area and at AD,TREE,23.0893055555556,72.6497222222222,231,NIL,Tree
In circling area and at AD,OTHER,23.0684444444444,72.6234444444444,201,NIL,Wind Sock
In circling area and at AD,TOWER,23.0511666666667,72.6275555555555,368,NIL,Chimney
In circling area and at AD,TOWER,23.0399444444444,72.6158611111111,414,NIL,Chimney
In circling area and at AD,TOWER,23.0728888888889,72.5939166666667,487,NIL,NTPC Chimney
In circling area and at AD,TOWER,23.0713333333333,72.5895833333333,473,NIL,NTPC Chimney (Group)
In circling area and at AD,TOWER,23.0753611111111,72.5946666666667,487,NIL,NTPC Chimney (Group)
In circling area and at AD,TOWER,23.1120833333333,72.6460555555556,440,NIL,H.T. Pylon mast
In circling area and at AD,TOWER,23.1120833333333,72.6528888888889,441,NIL,H.T. Pylon mast
In circling area and at AD,TOWER,23.0937222222222,72.6738611111111,375,NIL,Group of Chimney
In circling area and at AD,TOWER,23.0529444444444,72.6280277777778,369,NIL,Chimney
In circling area and at AD,TOWER,23.0453333333333,72.62,354,NIL,Chimney
In circling area and at AD,TOWER,23.0489166666667,72.6226666666667,354,NIL,Chimney
In circling area and at AD,TOWER,23.0426944444444,72.6195,356,NIL,Chimney
In circling area and at AD,TOWER,23.0448888888889,72.6173055555555,344,NIL,Chimney
In circling area and at AD,TOWER,23.0426388888889,72.6160833333333,378,NIL,Chimney
In circling area and at AD,TOWER,23.0404166666667,72.6143888888889,397,NIL,Chimney
In circling area and at AD,TOWER,23.0713333333333,72.5930277777778,490,NIL,NTPC Chimney
In circling area and at AD,TOWER,23.0708611111111,72.5927222222222,497,NIL,NTPC Chimney
In circling area and at AD,TOWER,23.09325,72.6709166666667,364,NIL,Black Chimney
In circling area and at AD,ANTENNA,23.0800555555556,72.5934444444444,451,NIL,Cellphone mast
In circling area and at AD,BUILDING,23.1024444444444,72.6170833333333,365,NIL,Multistory Building
In circling area and at AD,TOWER,23.0551944444444,72.629,349,NIL,Chimney
