Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,WALL,19.8608055555556,75.3863611111111,1920,NIL,BOUNDARY WALL
27/TKOF09/APCH,ANTENNA,19.8635555555556,75.3848611111111,1928,NIL,LOC HUT WALL
27/TKOF09/APCH,TREE,19.8655,75.37225,2011,NIL,TREE
27/TKOF09/APCH,ANTENNA,19.8608055555556,75.3808055555556,1953,NIL,MOBILE RD TRAFFIC
27/APCH09/TKOF,POLE,19.8625,75.4106388888889,1894,NIL,ELECT. POLE
27/APCH09/TKOF,TREE,19.8617777777778,75.4113888888889,1932,NIL,GROUP OF TREES
27/APCH09/TKOF,POLE,19.8643611111111,75.4012222222222,1897,NIL,TELE POLE
27/APCH09/TKOF,TREE,19.8645833333333,75.4073888888889,1901,NIL,TREE
27/APCH09/TKOF,TREE,19.864,75.4121111111111,1916,NIL,GROUP OF TREE
27/APCH09/TKOF,TREE,19.8644444444444,75.4114444444445,1922,NIL,GROUP OF TREE
27/APCH09/TKOF,TREE,19.8646666666667,75.4134722222222,1927,NIL,TREE
27/APCH09/TKOF,TREE,19.8626111111111,75.4133333333333,1922,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,19.8643055555556,75.4155555555556,1942,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,19.8624722222222,75.4173055555556,1940,NIL,TREE
