Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/TKOF04/APCH,POLE,22.3266666666667,73.2146111111111,146,NIL,Electric Pole
22/TKOF04/APCH,ANTENNA,22.3277777777778,73.2173888888889,127,NIL,LOC MONITOR ANTENNNA
22/TKOF04/APCH,POLE,22.3266111111111,73.2149166666667,145,NIL,ELECTRIC POLE
22/TKOF04/APCH,POLE,22.3270555555556,73.2148055555556,145,NIL,ELECTRIC POLE
22/TKOF04/APCH,BUILDING,22.3255555555556,73.2173888888889,141,NIL,TEMPLE
22/TKOF04/APCH,OTHER,22.3270277777778,73.2176944444444,139,NIL,MOBILE ROAD TRAFFIC
22/TKOF04/APCH,POLE,22.3269166666667,73.2153888888889,144,NIL,Electric Pole
22/TKOF04/APCH,BUILDING,22.32775,73.21625,151,NIL,LOC HUT
22/TKOF04/APCH,BUILDING,22.3260277777778,73.2166111111111,144,NIL,BUILDING
22/TKOF04/APCH,HEAT COOL SYSTEM,22.3245,73.2151666666667,159,NIL,VENTILATION PIPE
22/TKOF04/APCH,POLE,22.3258611111111,73.2165277777778,146,NIL,LIGHT POST
22/TKOF04/APCH,BUILDING,22.3276944444444,73.2149166666667,146,NIL,BUILDING
22/TKOF04/APCH,POLE,22.3262222222222,73.2168055555556,145,NIL,LIGHT POST
22/TKOF04/APCH,OTHER,22.3255,73.2143888888889,160,NIL,VENTILATION PIPE
22/TKOF04/APCH,POLE,22.3251388888889,73.2169722222222,154,NIL,ELECTRIC POLE
22/TKOF04/APCH,POLE,22.3268888888889,73.2137777777778,161,NIL,ELECTRIC POLE
22/TKOF04/APCH,TREE,22.3261388888889,73.2166111111111,157,NIL,TREE
22/TKOF04/APCH,TREE,22.3263055555556,73.2161666666667,166,NIL,TREE
22/TKOF04/APCH,TREE,22.3263888888889,73.2158611111111,168,NIL,TREE
22/TKOF04/APCH,OTHER,22.3261388888889,73.2169722222222,139,NIL,MOBILE ROAD TRAFFIC
22/TKOF04/APCH,POLE,22.3264166666667,73.2163333333333,141,NIL,LIGHT POST
22/TKOF04/APCH,POLE,22.3267222222222,73.2154166666667,144,NIL,LIGHT POST
22/TKOF04/APCH,OTHER,22.324,73.2153055555556,159,NIL,VENTILATION PIPE
22/TKOF04/APCH,BUILDING,22.3247777777778,73.2156666666667,156,NIL,BUILDING
22/TKOF04/APCH,POLE,22.3256388888889,73.21725,146,NIL,ELECTRIC POLE
