Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
30/APCH12/TKOF,POLE,23.2833333333333,77.3445,1729,NIL,LIGHT POST
30/APCH12/TKOF,POLE,23.2836111111111,77.3427777777778,1714,NIL,LIGHT POST
30/APCH12/TKOF,POLE,23.2813055555556,77.3423055555556,1715,NIL,LIGHT POST
30/APCH12/TKOF,POLE,23.2813333333333,77.3426944444444,1718,NIL,LIGHT POST
30/APCH12/TKOF,TREE,23.2829444444444,77.3446666666667,1732,NIL,TREE
30/APCH12/TKOF,TREE,23.28025,77.3439444444444,1749,NIL,TREE
30/APCH12/TKOF,TREE,23.2811111111111,77.3439722222222,1728,NIL,TREE
In circling area and at AD,ANTENNA,23.2854166666667,77.3416388888889,1755,NIL,AERODROME BEACON
In circling area and at AD,POLE,23.2852222222222,77.3420277777778,1742,NIL,LIGHT POST
In circling area and at AD,TREE,23.2854444444444,77.3420833333333,1753,NIL,TREE
In circling area and at AD,TOWER,23.28525,77.3415555555555,1754,NIL,TOWER
In circling area and at AD,POLE,23.2889722222222,77.3262222222222,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2890555555556,77.3260555555556,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2889166666667,77.3263888888889,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2888333333333,77.3265277777778,1720,LGTD,LIGHT POST
In circling area and at AD,POLE,23.2891111111111,77.3258888888889,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2887777777778,77.3266944444444,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2887222222222,77.3268611111111,1719,NIL,LIGHT POST
In circling area and at AD,POLE,23.2891666666667,77.3257222222222,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2886388888889,77.3270277777778,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2885833333333,77.3271944444444,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.28925,77.3255833333333,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2885,77.3273333333333,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2884444444444,77.3275,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2883888888889,77.3276666666667,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2883055555556,77.3278333333333,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2893055555556,77.3254166666667,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.28825,77.328,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2893888888889,77.32525,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2894444444444,77.3250833333333,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2895277777778,77.3249166666667,1721,NIL,LIGHT POST
In circling area and at AD,POLE,23.2895833333333,77.32475,1722,NIL,LIGHT POST
In circling area and at AD,POLE,23.2896666666667,77.3245833333333,1722,NIL,LIGHT POST
In circling area and at AD,POLE,23.28575,77.3330277777778,1714,NIL,LIGHT POST
In circling area and at AD,TOWER,23.2396388888889,77.3881944444445,2231,NIL,TV TOWER
In circling area and at AD,POLE,23.2842777777778,77.3429722222222,1720,NIL,LIGHT POST
In circling area and at AD,POLE,23.2843333333333,77.3427222222222,1722,NIL,LIGHT POST
In circling area and at AD,POLE,23.2849722222222,77.3422777777778,1771,NIL,LIGHT POST
In circling area and at AD,POLE,23.2849722222222,77.3423055555556,1737,NIL,LIGHT POST
In circling area and at AD,TREE,23.289,77.3261111111111,1780,NIL,TREE
In circling area and at AD,TREE,23.2890833333333,77.3259166666667,1790,NIL,TREE
In circling area and at AD,TREE,23.2887777777778,77.3266111111111,1763,NIL,TREE
In circling area and at AD,TREE,23.2886388888889,77.3270277777778,1753,NIL,TREE
In circling area and at AD,TREE,23.2894166666667,77.3251388888889,1774,NIL,TREE
In circling area and at AD,TREE,23.2896388888889,77.3246111111111,1763,NIL,TREE
In circling area and at AD,POLE,23.28125,77.3418888888889,1717,NIL,LIGHT POST
In circling area and at AD,POLE,23.2846388888889,77.3424722222222,1736,NIL,LIGHT POST
In circling area and at AD,POLE,23.2846666666667,77.3418055555556,1739,NIL,LIGHT POST
In circling area and at AD,POLE,23.29425,77.3149166666667,1723,NIL,LIGHT POST
In circling area and at AD,POLE,23.2941666666667,77.3151111111111,1723,NIL,LIGHT POST
In circling area and at AD,POLE,23.2940833333333,77.3153055555556,1723,NIL,LIGHT POST
In circling area and at AD,POLE,23.2939722222222,77.3155,1722,NIL,LIGHT POST
In circling area and at AD,POLE,23.2938888888889,77.3156944444444,1720,NIL,LIGHT POST
