Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
25/TKOF07/APCH,OTHER,21.7491111111111,72.1750833333333,72,NIL,HUT
25/TKOF07/APCH,OTHER,21.7484722222222,72.1757222222222,51,NIL,FENCE
25/TKOF07/APCH,OTHER,21.7469166666667,72.1733055555556,71,NIL,HUT
25/TKOF07/APCH,OTHER,21.7472222222222,72.1728611111111,73,NIL,HUT
25/TKOF07/APCH,OTHER,21.7467222222222,72.1728611111111,75,NIL,HUT
25/TKOF07/APCH,OTHER,21.746,72.1726388888889,78,NIL,HUT
25/TKOF07/APCH,OTHER,21.7462222222222,72.1735277777778,79,NIL,HUT
25/TKOF07/APCH,OTHER,21.7468611111111,72.17175,77,NIL,HUT
25/TKOF07/APCH,POLE,21.7453333333333,72.1716944444445,95,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7458888888889,72.17075,93,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7462777777778,72.1701944444444,96,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7465555555556,72.1698333333333,97,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7475,72.1690833333333,101,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7475833333333,72.1681666666667,106,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7471666666667,72.1680277777778,102,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7476388888889,72.1680833333333,106,NIL,ELECT.POLE
25/TKOF07/APCH,POLE,21.7464444444444,72.1697222222222,92,NIL,TELE.POLE
25/TKOF07/APCH,POLE,21.7462222222222,72.1695277777778,124,NIL,TREE
25/TKOF07/APCH,POLE,21.7453333333333,72.1704722222222,89,NIL,BUILDING
25/TKOF07/APCH,OTHER,21.7467777777778,72.1677777777778,113,NIL,DISC ANT ON BLDG
25/TKOF07/APCH,OTHER,21.7453333333333,72.1714444444444,87,NIL,MOB.RD.TFC
