Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
25/APCH07/TKOF,OTHER,22.7272222222222,75.8132222222222,1852,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7263611111111,75.8139722222222,1853,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7263611111111,75.8139722222222,1853,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7271944444444,75.8133333333333,1852,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7266666666667,75.8140833333333,1853,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.72725,75.8131111111111,1851,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7272777777778,75.813,1851,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7259444444444,75.8137777777778,1852,NIL,PERIMETER LIGHT
25/APCH07/TKOF,OTHER,22.7270833333333,75.8154722222222,1851,NIL,PERIMETER LIGHT ON CW
25/APCH07/TKOF,OTHER,22.7273888888889,75.8123055555556,1849,NIL,LIGHT POST
25/APCH07/TKOF,TREE,22.7278611111111,75.8181111111111,1886,NIL,TREE
25/APCH07/TKOF,OTHER,22.7274444444444,75.8121111111111,1848,NIL,LIGHT POST
25/APCH07/TKOF,POLE,22.7289722222222,75.8154722222222,1875,NIL,ELECTRICAL POLE
25/APCH07/TKOF,OTHER,22.7275,75.8119166666667,1849,NIL,LIGHT POST
25/APCH07/TKOF,OTHER,22.7275555555556,75.8117222222222,1849,NIL,LIGHT POST
25/APCH07/TKOF,TREE,22.72875,75.8163888888889,1882,NIL,TREE
25/APCH07/TKOF,BUILDING,22.7310555555556,75.8220833333333,1924,NIL,OVERHEAD WATER TANK
25/APCH07/TKOF,OTHER,22.7276111111111,75.8115277777778,1849,NIL,LIGHT POST
25/APCH07/TKOF,OTHER,22.72725,75.8156666666667,1874,NIL,SIGNAGE BOARD
25/APCH07/TKOF,TREE,22.7156944444444,75.7825,1871,NIL,Tree
25/APCH07/TKOF,TREE,22.726,75.8138055555555,1864,NIL,TREE
25/APCH07/TKOF,TREE,22.7258055555556,75.8136388888889,1875,NIL,TREE
25/APCH07/TKOF,OTHER,22.7255,75.8136111111111,1864,NIL,STREET LIGHT
25/APCH07/TKOF,BUILDING,22.7255,75.8133333333333,1863,NIL,HANGER
25/APCH07/TKOF,OTHER,22.7259166666667,75.8137777777778,1865,NIL,STREET LIGHT
25/APCH07/TKOF,BUILDING,22.72575,75.8134722222222,1868,NIL,HANGER
In circling area and at AD,BUILDING,22.7156944444444,75.7912222222222,1861,NIL,WATCH TOWER
In circling area and at AD,BUILDING,22.7156944444444,75.7912222222222,1861,NIL,WATCH TOWER
In circling area and at AD,BUILDING,22.72775,75.8109166666667,1861,NIL,WATCH TOWER
In circling area and at AD,BUILDING,22.7172777777778,75.7866388888889,1862,NIL,WATCH TOWER
In circling area and at AD,OTHER,22.7276666666667,75.8113333333333,1849,NIL,LIGHT POST
In circling area and at AD,OTHER,22.7197777777778,75.7919722222222,1880,NIL,LT LINE
In circling area and at AD,OTHER,22.7197222222222,75.79175,1880,NIL,LT LINE
In circling area and at AD,TREE,22.72825,75.8098055555556,1905,NIL,TREE
In circling area and at AD,OTHER,22.7260277777778,75.8038333333333,1928,LGTD,AERODROME BEACON
In circling area and at AD,BUILDING,22.7260277777778,75.8038333333333,1928,LGTD,ATC TOWER
In circling area and at AD,OTHER,22.7196666666667,75.7914444444444,1880,NIL,LT LINE
In circling area and at AD,BUILDING,22.7315277777778,75.7984444444444,1995,NIL,OVERHEAD WATER TANK
In circling area and at AD,BUILDING,22.7277222222222,75.8109444444444,1861,NIL,WATCH TOWER
