Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,FENCE,20.9632777777778,75.6178888888889,864,NIL,Fencing
27/TKOF09/APCH,WALL,20.9639166666667,75.6178333333333,866,NIL,Airport boundary wall
27/TKOF09/APCH,OTHER,20.9640277777778,75.6180833333333,866,NIL,Mobile Road traffic
27/TKOF09/APCH,TREE,20.9628611111111,75.6178888888889,867,NIL,Tree
27/TKOF09/APCH,FENCE,20.9634722222222,75.6179444444444,868,NIL,Fencing
27/TKOF09/APCH,TREE,20.9639166666667,75.6179444444444,874,NIL,Tree
27/TKOF09/APCH,TREE,20.9631388888889,75.6161944444444,878,NIL,Group of Tree
27/TKOF09/APCH,TREE,20.9636388888889,75.6170555555556,884,NIL,Tree
27/TKOF09/APCH,TREE,20.9638055555556,75.6161111111111,883,NIL,Tree
27/TKOF09/APCH,TREE,20.9630555555556,75.6138333333333,903,NIL,Group of Tree
27/TKOF09/APCH,TREE,20.9615,75.6374166666667,811,NIL,Group of Tree
27/APCH09/TKOF,OTHER,20.9613888888889,75.6371666666667,807,NIL,Mobile Road Traffic
In circling area and at AD,OTHER,20.9727777777778,75.6010555555555,1011,NIL,Mast
In circling area and at AD,OTHER,20.9624722222222,75.6180277777778,864,NIL,Mobile Road Traffic
In circling area and at AD,TREE,20.9624444444444,75.6176388888889,871,NIL,Tree
In circling area and at AD,TREE,20.9621111111111,75.6171111111111,882,NIL,Group of Tree
In circling area and at AD,TREE,20.9620277777778,75.61575,901,NIL,Group of Tree
In circling area and at AD,TREE,20.963,75.6353333333333,814,NIL,Tree
In circling area and at AD,OTHER,21.0048333333333,75.6079444444444,1254,NIL,TV Tower
