Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
23/TKOF05/APCH,TREE,23.1063888888889,70.091,125,NIL,Group of Trees
23/TKOF05/APCH,OTHER,23.1076388888889,70.0942222222222,97,NIL,APP Light
23/TKOF05/APCH,POLE,23.0991944444444,70.0812777777778,255,NIL,Mast
23/TKOF05/APCH,BUILDING,23.1200833333333,70.1100833333333,128,NIL,Building
23/TKOF05/APCH,POLE,23.1217777777778,70.1156666666667,186,NIL,Mast
In circling area and at AD,BUILDING,23.1004722222222,70.0887222222222,227,NIL,Factory Shed
In circling area and at AD,INDUSTRIAL SYSTEM,23.0990833333333,70.0918055555556,261,NIL,Chimney
In circling area and at AD,INDUSTRIAL SYSTEM,23.0983888888889,70.0916944444444,264,NIL,Chimney
In circling area and at AD,BUILDING,23.1054722222222,70.0790833333333,267,NIL,Factory Shed
In circling area and at AD,INDUSTRIAL SYSTEM,23.1059722222222,70.0789444444444,270,NIL,Chimney
In circling area and at AD,INDUSTRIAL SYSTEM,23.1143333333333,70.0736111111111,398,NIL,Chimney
In circling area and at AD,INDUSTRIAL SYSTEM,23.1140555555556,70.0818611111111,296,NIL,Chimney
In circling area and at AD,BUILDING,23.1169444444444,70.08275,303,NIL,Factory Shed
