Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
32/TKOF14/APCH,TREE,21.1116944444444,79.0294444444444,1076,NIL,TREE
32/TKOF14/APCH,TREE,21.1116666666667,79.0328333333333,1067,NIL,TREE
32/TKOF14/APCH,OTHER,21.1111666666667,79.0330555555555,1045,NIL,POWER HOUSE
32/TKOF14/APCH,TREE,21.1129166666667,79.0318055555556,1065,NIL,GP OF TREES
32/TKOF14/APCH,OTHER,21.1157777777778,79.0315,1084,NIL,ELECT. POLE
32/TKOF14/APCH,OTHER,21.1154166666667,79.0308333333333,1081,NIL,ELECT. POLE
32/TKOF14/APCH,TREE,21.1144166666667,79.0289166666667,1086,NIL,TREE
32/TKOF14/APCH,TREE,21.1150277777778,79.0296666666667,1087,NIL,NIL
32/APCH14/TKOF,OTHER,21.0849444444444,79.0534166666667,1019,NIL,BUSHES
32/APCH14/TKOF,OTHER,21.0862777777778,79.1030555555556,1020,NIL,BUSHES
32/APCH14/TKOF,OTHER,21.0853333333333,79.0518611111111,1022,NIL,BUSHES
32/APCH14/TKOF,OTHER,21.0863333333333,79.054,1023,NIL,WDI
32/TKOF14/APCH,TREE,21.1108611111111,79.0335833333333,1055,NIL,TREE
32/TKOF14/APCH,TREE,21.1131111111111,79.0328611111111,1084,NIL,TREE
32/TKOF14/APCH,TREE,21.1120277777778,79.0316666666667,1056,NIL,TREE
