Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1129722222222,73.7679444444444,3232,NIL,Ramshej Hill
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1236111111111,73.7600833333333,3150,NIL,Hill Top
27/TKOF09/APCH,ANTENNA,20.117,73.7383611111111,3642,LGTD,Antenna on Borgarh Hill Top
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1179722222222,73.73825,2822,NIL,Hill Top
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1100833333333,73.7695277777778,2900,NIL,Hill Top
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1176388888889,73.7716666666667,2428,NIL,Hill Top
27/TKOF09/APCH,NATURAL HIGHPOINT,20.1236111111111,73.7600833333333,3150,NIL,Hill Top
27/TKOF09/APCH,TOWER,20.1026388888889,73.8136111111111,2205,LGTD,Tower at Dhakambe
27/TKOF09/APCH,TOWER,20.1032222222222,73.8156111111111,2205,LGTD,Tower at Dhakambe ODU
27/TKOF09/APCH,TOWER,20.1204444444444,73.79025,2389,LGTD,Tower at Pimpalnare
27/TKOF09/APCH,OTHER,20.1216388888889,73.9278888888889,2011,Marked,Arrester Barrier Hut
27/TKOF09/APCH,ANTENNA,20.1188055555556,73.8986111111111,1994,Marked,AWS Antenna
27/APCH09/TKOF,BUILDING,20.1253888888889,73.9638055555556,1962,Marked,Bhalerao Cold Storage
27/APCH09/TKOF,BUILDING,20.1272777777778,73.96425,1939,NIL,Kshirsagar Cold Storage
27/APCH09/TKOF,TOWER,20.125,74.0265833333333,2021,LGTD,BSNL Tower at Vadali Najik
27/APCH09/TKOF,TOWER,20.1501111111111,74.0581111111111,2011,LGTD,Tower at Dawachwadi
27/APCH09/TKOF,TOWER,20.1431944444444,74.0298055555556,2100,LGTD,Tower at Karsul
27/APCH09/TKOF,TOWER,20.12775,74.0226944444444,1988,LGTD,Tower at Vadali Najik
27/APCH09/TKOF,OTHER,20.1188055555556,73.89875,1955,Marked,Arrester Barrier Hut
27/APCH09/TKOF,ANTENNA,20.1201944444444,73.9283611111111,1938,Marked,AWS Antenna
In circling area and at AD,BUILDING,20.1168055555556,73.9136111111111,2021,LGTD,ATC Building
In circling area and at AD,NAVAID,20.1075277777778,73.9098888888889,2083,LGTD,NDB
In circling area and at AD,TANK,20.1142222222222,73.9221111111111,2051,LGTD,Water Tank
In circling area and at AD,POLE,20.1075833333333,73.9091388888889,2119,LGTD,TX Mast
In circling area and at AD,BUILDING,20.1185555555556,73.9147777777778,1992,LGTD,PAR Building
In circling area and at AD,ANTENNA,20.1224444444444,73.9051944444444,2018,LGTD,MSSR Antenna
In circling area and at AD,ANTENNA,20.122,73.9245277777778,1965,LGTD,Glide Scope Antenna
In circling area and at AD,BUILDING,20.1150555555556,73.9066388888889,2005,LGTD,HRDF Building
In circling area and at AD,BUILDING,20.1166944444444,73.9133611111111,1975,LGTD,CCR Building
In circling area and at AD,POLE,20.1144166666667,73.9000555555556,2034,LGTD,High Mast-1 at ‘E’ Apron
In circling area and at AD,POLE,20.1143333333333,73.8993333333333,2034,LGTD,High Mast-2 at ‘E’ Apron
In circling area and at AD,POLE,20.1142777777778,73.8985833333333,2034,LGTD,High Mast-3 at ‘E’ Apron
In circling area and at AD,POLE,20.1138055555556,73.8978055555556,2034,LGTD,High Mast-4 at ‘E’ Apron
In circling area and at AD,TOWER,20.0964444444444,73.9444444444444,2037,LGTD,Tower at Ojhar –1
In circling area and at AD,TOWER,20.1043055555556,73.9461666666667,2037,LGTD,Tower at Ojhar –2
In circling area and at AD,TOWER,20.0956666666667,73.9250277777778,1975,LGTD,Tower at Ojhar –3
In circling area and at AD,TOWER,20.0901111111111,73.9231666666667,2037,LGTD,Tower at Ojhar –4
In circling area and at AD,TOWER,20.0867777777778,73.9198611111111,2103,LGTD,Tower at Ojhar –5
In circling area and at AD,TOWER,20.1033333333333,73.9259722222222,2037,LGTD,Tower at IAF Ojhar
In circling area and at AD,TOWER,20.1044166666667,73.8864166666667,2037,LGTD,Tower at Janori
