Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/TKOF04/APCH,OTHER,21.1102222222222,72.7377777777778,23,NIL,Approach Light
22/APCH04/TKOF,TREE,21.1317777777778,72.7561111111111,82,NIL,Group of Trees
22/APCH04/TKOF,TREE,21.1311666666667,72.7560555555556,80,NIL,Group of Trees
22/APCH04/TKOF,OTHER,21.1258055555556,72.7533611111111,30,NIL,Approach Light
22/TKOF04/APCH,OTHER,21.1259722222222,72.7522222222222,32,NIL,Airport wire fencing
In circling area and at AD,BUILDING,21.1374444444444,72.7338055555556,198,NIL,Narmada Cement Factory
In circling area and at AD,BUILDING,21.1397222222222,72.7389444444444,184,NIL,Ambuja Cement Factory
In circling area and at AD,POLE,21.1547777777778,72.7604166666667,302,NIL,Pylon Mast
In circling area and at AD,POLE,21.1597222222222,72.7561666666667,302,NIL,Pylon Mast
In circling area and at AD,POLE,21.1517222222222,72.7382222222222,253,NIL,Chimney Rod Top (ONGC)
In circling area and at AD,POLE,21.1535833333333,72.7377777777778,374,NIL,Chimney Rod Top (ONGC)
In circling area and at AD,POLE,21.1586666666667,72.7330833333333,246,NIL,Chimney Rod Top (ONGC)
In circling area and at AD,POLE,21.1603611111111,72.7331388888889,351,NIL,Mast Disc Top (ONGC)
In circling area and at AD,POLE,21.1037777777778,72.6959166666667,330,NIL,Pylon Mast
In circling area and at AD,POLE,21.1602222222222,72.74,359,NIL,Mast Rod Top (GAIL)
In circling area and at AD,POLE,21.1008333333333,72.6997777777778,212,NIL,Pylon Mast
In circling area and at AD,POLE,21.1159166666667,72.7705555555556,192,NIL,Communication Mast
In circling area and at AD,POLE,21.1106666666667,72.7403611111111,45,NIL,DVOR Main Antenna
In circling area and at AD,POLE,21.1113055555556,72.7409444444445,51,NIL,DVOR Monitor Antenna
In circling area and at AD,POLE,21.1134166666667,72.7440555555556,64,NIL,Self-Radiating Mast
In circling area and at AD,POLE,21.1162777777778,72.7415833333333,45,NIL,W.D.I.
In circling area and at AD,POLE,21.1106388888889,72.7404444444444,52,NIL,DVOR Main Antenna
