Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/TKOF08/APCH,OTHER,24.6160833333333,73.88375,1707,NIL,MOBILE RD. TFC
26/TKOF08/APCH,OTHER,24.6158333333333,73.8846944444444,1691,NIL,SPOT LEVEL
26/TKOF08/APCH,OTHER,24.6153333333333,73.8838611111111,1697,NIL,FENCING TOP
26/TKOF08/APCH,OTHER,24.6150277777778,73.8847777777778,1704,NIL,FENCING TOP
26/TKOF08/APCH,OTHER,24.6151944444444,73.8823055555555,1703,NIL,SPOT LEVEL
26/TKOF08/APCH,OTHER,24.6163333333333,73.8817222222222,1702,NIL,SPOT LEVEL
26/TKOF08/APCH,OTHER,24.6163888888889,73.8813611111111,1715,NIL,LOC HUT
26/TKOF08/APCH,OTHER,24.6164722222222,73.8811666666667,1712,NIL,FENCING TOP
26/TKOF08/APCH,TREE,24.6156944444444,73.8803888888889,1759,NIL,TREE
26/TKOF08/APCH,TREE,24.6159444444444,73.8801666666667,1744,NIL,TREE
26/TKOF08/APCH,OTHER,24.6149722222222,73.8828333333333,1713,NIL,KUTCHA WAY
26/TKOF08/APCH,TREE,24.6153611111111,73.8758333333333,1761,NIL,TREE
26/TKOF08/APCH,TREE,24.6142222222222,73.8762222222222,1743,NIL,TREE
26/APCH08/TKOF,TREE,24.6183888888889,73.9089166666667,1724,NIL,TREE
26/APCH08/TKOF,TREE,24.6201666666667,73.9101666666667,1699,NIL,TREE
26/APCH08/TKOF,TREE,24.6205277777778,73.9116388888889,1704,NIL,TREE
26/APCH08/TKOF,TREE,24.6188055555556,73.9108333333333,1696,NIL,TREE
26/APCH08/TKOF,TREE,24.6188888888889,73.9093888888889,1689,NIL,TREE
26/APCH08/TKOF,TREE,24.6195,73.9122777777778,1706,NIL,TREE
26/APCH08/TKOF,TREE,24.6210277777778,73.9134444444445,1709,NIL,TREE
26/APCH08/TKOF,TREE,24.6186388888889,73.9143888888889,1730,NIL,TREE
26/APCH08/TKOF,TREE,24.6199722222222,73.9146666666667,1724,NIL,TREE
26/APCH08/TKOF,TREE,24.6205277777778,73.9158888888889,1718,NIL,TREE
