Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
36/TKOF18/APCH,POLE,23.9006666666667,91.2425277777778,65,NIL,ELECTRIC POLE
36/TKOF18/APCH,TREE,23.9017777777778,91.2433333333333,97,NIL,GROUP OF TREES
36/TKOF18/APCH,TREE,23.9026111111111,91.2435277777778,108,NIL,GROUP OF TREES
36/TKOF18/APCH,OTHER,23.8980277777778,91.24175,46,NIL,APPROACH LIGHT
36/APCH18/TKOF,WALL,23.8755277777778,91.239,56,NIL,AIRPORT BOUNDARY WALL WITH F/ TOP
36/APCH18/TKOF,OTHER,23.8752222222222,91.2389166666667,64,NIL,MOBILE ROAD TRAFFIC
36/APCH18/TKOF,TREE,23.8740555555556,91.2405555555556,76,NIL,TREE
36/APCH18/TKOF,OTHER,23.8758055555556,91.2391111111111,65,NIL,MOBILE ROAD TRAFFIC
36/APCH18/TKOF,OTHER,23.8764722222222,91.24,49,NIL,APPROACH LIGHT
In circling area and at AD,POLE,23.8914722222222,91.24,77,NIL,LIGHT POLE
In circling area and at AD,POLE,23.8903888888889,91.2399444444444,77,NIL,LIGHT POLE
In circling area and at AD,ANTENNA,23.8928333333333,91.2435,121,NIL,F1.1T. MAST
In circling area and at AD,TREE,23.8878055555556,91.2424166666667,102,NIL,TREE
In circling area and at AD,OTHER,23.8887222222222,91.2418611111111,55,NIL,LIGHT POST
In circling area and at AD,POLE,23.8906111111111,91.2420833333333,69,NIL,W.D.I
In circling area and at AD,TREE,23.8979722222222,91.2435277777778,95,NIL,GROUP OF TREES
In circling area and at AD,OTHER,23.8978055555556,91.2406944444444,60,NIL,MOBILE ROAD TRAFFIC
In circling area and at AD,TREE,23.8968055555556,91.2399444444444,123,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8981944444444,91.2400277777778,106,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8992222222222,91.2400277777778,99,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.9004444444444,91.2431666666667,102,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8989166666667,91.2435,114,NIL,GROUP OF TREES
In circling area and at AD,ANTENNA,23.8938055555556,91.2425833333333,95,LGTD,G.P MAIN ANTENNA
In circling area and at AD,TREE,23.8811388888889,91.2386944444444,95,NIL,BAMBOO TREES
In circling area and at AD,POLE,23.8761666666667,91.2410833333333,74,NIL,ELECTRIC POLE
In circling area and at AD,POLE,23.87675,91.2389166666667,68,NIL,ELECTRIC POLE
In circling area and at AD,TREE,23.8725833333333,91.2376944444444,126,NIL,GROUP OF TREES
In circling area and at AD,POLE,23.8768611111111,91.2410277777778,58,NIL,LIGHT POST
In circling area and at AD,TREE,23.8768055555556,91.2418888888889,119,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8758611111111,91.2418888888889,108,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8748611111111,91.2419166666667,114,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8735277777778,91.2422222222222,132,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8725833333333,91.2416388888889,109,NIL,GROUP OF TREES
In circling area and at AD,TREE,23.8776111111111,91.2383333333333,107,NIL,GROUP OF TREES
In circling area and at AD,POLE,23.87625,91.2391666666667,53,NIL,LIGHT POST
