Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/TKOF04/APCH,FENCE,25.6954722222222,91.9679722222222,2993,NIL,AIRPORT BOUNDARY WALL WITH FENCING ON TOP
22/TKOF04/APCH,FENCE,25.6945,91.9671666666667,2991,NIL,AIRPORT BOUNDARY WALL WITH FENCING ON TOP
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6950555555556,91.9683611111111,2980,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6958055555556,91.9699444444445,2955,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6956944444444,91.97,2949,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6949166666667,91.9691666666667,2955,NIL,SPOT LEVEL
22/TKOF04/APCH,TREE,25.6925833333333,91.9676666666667,2990,NIL,TREE
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6935277777778,91.9675555555556,2971,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6935833333333,91.9673055555556,2978,NIL,SPOT LEVEL
22/TKOF04/APCH,TREE,25.6935555555556,91.9671111111111,3009,NIL,TREE
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6933611111111,91.9670555555556,2970,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.694,91.9673055555556,2983,NIL,SPOT LEVEL
22/TKOF04/APCH,TREE,25.6941666666667,91.9672777777778,3007,NIL,TREE
22/TKOF04/APCH,TREE,25.6936944444444,91.9662777777778,3004,NIL,TREE
22/TKOF04/APCH,BUILDING,25.6934444444444,91.9665277777778,2982,NIL,HOUSE
22/TKOF04/APCH,OTHER,25.6934722222222,91.9666666666667,2990,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV. 906.5M+5M MOBILE TRAFFIC)
22/TKOF04/APCH,OTHER,25.6944444444444,91.9671388888889,2999,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV. 909.1M+5M MOBILE TRAFFIC)
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6966388888889,91.9708333333333,2944,NIL,SPOT LEVEL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6955833333333,91.9717222222222,2945,NIL,HUMP
22/TKOF04/APCH,TREE,25.6834444444444,91.964,3153,NIL,TREE
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6833055555556,91.9640277777778,3153,NIL,SPOT LEVEL
22/TKOF04/APCH,TREE,25.6815833333333,91.9631111111111,3165,NIL,TREE
22/TKOF04/APCH,ANTENNA,25.68,91.96025,3128,NIL,ANTENNA
22/TKOF04/APCH,ANTENNA,25.6797777777778,91.9606111111111,3137,NIL,ANTENNA
22/TKOF04/APCH,OTHER,25.6936666666667,91.9675277777778,2995,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV. 908.0M+5M MOBILE TRAFFIC)
22/TKOF04/APCH,TREE,25.6833888888889,91.9643333333333,3158,NIL,TREE TOP ON HILLOCK
22/TKOF04/APCH,OTHER,25.69675,91.9704722222222,2987,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV. 905.5M+5M MOBILE TRAFFIC)
22/TKOF04/APCH,FENCE,25.6965277777778,91.9701944444444,2963,NIL,AIRPORT BOUNDARY WALL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6391111111111,91.9187222222222,3960,NIL,HILL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6038333333333,91.8793611111111,4741,NIL,HILL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6023611111111,91.9092222222222,5249,NIL,HILL
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6579166666667,91.9446111111111,3510,NIL,HILL TOP
22/TKOF04/APCH,NATURAL HIGHPOINT,25.6220277777778,91.8935833333333,4429,NIL,HILL TOP
22/TKOF04/APCH,ANTENNA,25.6801111111111,91.9585277777778,3081,NIL,ANTENNA
22/TKOF04/APCH,MONUMENT,25.6791944444444,91.9573055555556,3101,NIL,CHURCH
22/TKOF04/APCH,TREE,25.6792222222222,91.957,3128,NIL,TREE
