Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,TREE,25.4506111111111,82.8795555555556,292,NIL,TREE
27/TKOF09/APCH,OTHER,25.4543888888889,82.844,287,NIL,HOUSE
27/TKOF09/APCH,OTHER,25.4533333333333,82.8445277777778,291,NIL,HOUSE
27/TKOF09/APCH,OTHER,25.4542222222222,82.8441388888889,295,NIL,HOUSE
27/TKOF09/APCH,TREE,25.4526944444444,82.8413333333333,325,NIL,TREE
27/TKOF09/APCH,OTHER,25.4543888888889,82.8465833333333,281,NIL,LIGHT POST
27/TKOF09/APCH,OTHER,25.4521944444444,82.8455555555555,288,NIL,HOARDING
27/TKOF09/APCH,FENCE,25.4518888888889,82.84575,281,NIL,FENCING ON B. WALL
27/TKOF09/APCH,OTHER,25.4520555555556,82.8493333333333,281,NIL,MOBILE ROAD TRAFFIC
27/TKOF09/APCH,OTHER,25.45125,82.8455555555555,293,NIL,HOUSE
27/TKOF09/APCH,TREE,25.4530833333333,82.8436388888889,331,NIL,TREE
27/TKOF09/APCH,TREE,25.4521944444444,82.8431388888889,319,NIL,GROUP OF TREES
27/TKOF09/APCH,OTHER,25.4529166666667,82.8781666666667,280,NIL,SECURITY HUT
27/TKOF09/APCH,OTHER,25.4530833333333,82.8430277777778,296,NIL,HOUSE
27/TKOF09/APCH,ANTENNA,25.4529166666667,82.8466944444444,271,NIL,LOCALIZER MONITOR ANTENNA
27/APCH09/TKOF,POLE,25.4522222222222,82.8791111111111,287,NIL,ELECTRIC POLE
27/APCH09/TKOF,POLE,25.45275,82.8790277777778,287,NIL,ELECTRIC POLE
27/APCH09/TKOF,POLE,25.4528333333333,82.8789444444444,286,NIL,ELECTRIC POLE
27/APCH09/TKOF,POLE,25.453,82.8784722222222,284,NIL,ELECTRIC POLE
27/APCH09/TKOF,TREE,25.4528611111111,82.8807777777778,326,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,25.4530833333333,82.8831944444444,312,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,25.4530833333333,82.8814166666667,339,NIL,TREE
27/APCH09/TKOF,OTHER,25.4522222222222,82.8781388888889,278,NIL,MOBILE ROAD TRAFFIC
27/APCH09/TKOF,OTHER,25.4529166666667,82.8776666666667,280,NIL,MOBILE ROAD TRAFFIC
27/APCH09/TKOF,OTHER,25.4506111111111,82.8729444444444,268,NIL,TEMPLE
27/APCH09/TKOF,OTHER,25.4525833333333,82.8721666666667,273,NIL,SECURITY HUT
27/APCH09/TKOF,OTHER,25.4527777777778,82.8690555555555,275,NIL,SECURITY HUT
27/APCH09/TKOF,OTHER,25.4505833333333,82.8720833333333,274,NIL,NEW G.P. HUT
27/APCH09/TKOF,TREE,25.4527222222222,82.8801666666667,325,NIL,GROUP OF TREES
27/APCH09/TKOF,POLE,25.4501388888889,82.8786111111111,283,NIL,ELECTRIC POLE
27/APCH09/TKOF,POLE,25.4496666666667,82.8805,296,NIL,ELECTRIC POLE
In circling area and at AD,POLE,25.4530277777778,82.8777222222222,282,NIL,ELECTRIC POLE
In circling area and at AD,TREE,25.4531666666667,82.8792222222222,313,NIL,TREE
In circling area and at AD,OTHER,25.4530833333333,82.8791388888889,289,NIL,HOUSE
In circling area and at AD,TREE,25.4537222222222,82.8803611111111,347,NIL,TREE
In circling area and at AD,POLE,25.4531666666667,82.8763333333333,287,NIL,ELECTRIC POLE
In circling area and at AD,OTHER,25.462,82.8775277777778,429,NIL,CELLPHONE MAST
In circling area and at AD,OTHER,25.4420277777778,82.8752222222222,428,NIL,CELLPHONE MAST
In circling area and at AD,BUILDING,25.4501111111111,82.8545,330,NIL,INTERNATIONAL TERMINAL BUILDING
In circling area and at AD,ANTENNA,25.4499722222222,82.8540277777778,337,NIL,ANTENNA ON ATC BUILDING
In circling area and at AD,OTHER,25.4501388888889,82.8535,322,NIL,FLOOD LIGHT MAST
In circling area and at AD,OTHER,25.4535555555556,82.8577222222222,283,NIL,WIND DIRECTION INDICATOR
In circling area and at AD,ANTENNA,25.4535,82.8586388888889,288,NIL,DVOR MONITOR ANTENNA
In circling area and at AD,ANTENNA,25.4535,82.8595555555555,285,NIL,DVOR MAIN ANTENNA
In circling area and at AD,OTHER,25.4535,82.8593888888889,295,NIL,DVOR /DME
In circling area and at AD,OTHER,25.4510833333333,82.8440833333333,294,NIL,HOUSE
In circling area and at AD,TREE,25.4550833333333,82.84525,318,NIL,GROUP OF TREES
In circling area and at AD,OTHER,25.4543888888889,82.8473333333333,281,NIL,LIGHT POST
In circling area and at AD,OTHER,25.4546666666667,82.8466944444444,291,NIL,TEMPLE
In circling area and at AD,TREE,25.4549166666667,82.8489444444444,330,NIL,GROUP OF TREES
In circling area and at AD,TREE,25.451,82.8430555555556,357,NIL,GROUP OF TREES
In circling area and at AD,OTHER,25.4476388888889,82.8469722222222,432,NIL,MAST
In circling area and at AD,TREE,25.4519444444444,82.8813055555555,338,NIL,TREE
In circling area and at AD,OTHER,25.4508611111111,82.8578055555555,312,NIL,FIRE SECURITY WATCH TOWER
In circling area and at AD,TREE,25.4505,82.8620833333333,315,NIL,GROUP OF TREES
In circling area and at AD,TREE,25.4545277777778,82.8565277777778,317,NIL,TREE
In circling area and at AD,POLE,25.4505277777778,82.8619722222222,285,NIL,ELECTRIC POLE
In circling area and at AD,POLE,25.4505277777778,82.8623611111111,284,NIL,ELECTRIC POLE
In circling area and at AD,OTHER,25.4510833333333,82.86775,271,NIL,SECURITY HUT
In circling area and at AD,ANTENNA,25.45075,82.8678333333333,284,NIL,G.P. MONITOR ANTENNA
In circling area and at AD,OTHER,25.45075,82.867,290,NIL,G.P./DME
In circling area and at AD,ANTENNA,25.4508333333333,82.867,308,NIL,G.P. MAIN ANTENNA
In circling area and at AD,OTHER,25.4508333333333,82.8668888888889,276,NIL,G.P. HUT
In circling area and at AD,OTHER,25.4534166666667,82.8716666666667,294,NIL,HOUSE
In circling area and at AD,OTHER,25.4499444444444,82.8711388888889,291,NIL,HOUSE
In circling area and at AD,TREE,25.4497222222222,82.8711944444444,324,NIL,GROUP OF TREES
