Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
19R/TKOF01L/APCH,TREE,22.6299444444444,88.4437222222222,99,NIL,TREE
19R/APCH01L/TKOF,TREE,22.6684444444444,88.4450277777778,75,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6789722222222,88.4495277777778,62,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6794166666667,88.4510833333333,59,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6799166666667,88.45,84,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6801944444444,88.4483888888889,89,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6785,88.4481944444445,59,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6797777777778,88.4523055555556,78,NIL,GP OF TREES
19L/APCH01R/TKOF,OTHER,22.6803055555556,88.45275,79,NIL,CHIMNEY
19L/APCH01R/TKOF,TREE,22.6828611111111,88.4521388888889,86,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6830833333333,88.4499444444445,89,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6851666666667,88.4514722222222,103,NIL,TREE
19L/APCH01R/TKOF,TREE,22.6813888888889,88.4515,103,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6355,88.4433055555556,54,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6365,88.4453333333333,47,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6334166666667,88.4438055555556,69,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6369722222222,88.4432777777778,57,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6369166666667,88.4442777777778,53,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6377777777778,88.4475833333333,52,NIL,TREE
19R/TKOF01L/APCH,TREE,22.6328611111111,88.4416111111111,92,NIL,TREE
