Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
20/APCH02/TKOF,TREE,26.1198333333333,91.5906666666667,188,NIL,Tree
02/APCH02/TKOF,OTHER,26.0929166666667,91.5796388888889,175,NIL,Security room
20/TKOF02/APCH,TREE,26.0929444444444,91.5796944444444,184,NIL,Tree
20/TKOF02/APCH,OTHER,26.0929722222222,91.5795277777778,171,NIL,Water tank
20/TKOF02/APCH,OTHER,26.0932777777778,91.5790277777778,177,NIL,Mobile road traffic
20/TKOF02/APCH,TREE,26.0898611111111,91.5773611111111,226,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0907222222222,91.5763055555555,220,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0847777777778,91.5746666666667,250,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0896666666667,91.5786944444444,233,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0883333333333,91.5748888888889,226,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0867222222222,91.5763611111111,223,NIL,Group of trees
20/TKOF02/APCH,TREE,26.0870277777778,91.5745555555555,227,NIL,Group of trees
20/APCH02/TKOF,OTHER,26.1198888888889,91.5906666666667,176,NIL,LOC hut
