Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
28/TKOF10/APCH,TREE,24.7475555555556,84.9350833333333,391,NIL,Tree
28/TKOF10/APCH,TREE,24.7466111111111,84.9340833333333,411,NIL,Tree
28/TKOF10/APCH,TREE,24.7483333333333,84.9348888888889,395,NIL,Tree
28/TKOF10/APCH,TREE,24.7482777777778,84.9355833333333,412,NIL,Group of Trees
28/TKOF10/APCH,TREE,24.7472777777778,84.9345,387,NIL,Group of Trees
28/TKOF10/APCH,TREE,24.7475277777778,84.9328888888889,404,NIL,Group of Trees
28/TKOF10/APCH,OTHER,24.7475277777778,84.9386111111111,367,NIL,MB Rd Traffic
28/APCH10/TKOF,OTHER,24.7414444444444,84.9646944444444,400,NIL,MB Rd Traffic
28/APCH10/TKOF,TREE,24.7411666666667,84.9646666666667,413,NIL,Group of Trees
28/APCH10/TKOF,OTHER,24.7421944444444,84.9645,402,NIL,MB Rd Traffic
28/APCH10/TKOF,POLE,24.7414166666667,84.9656944444445,402,NIL,Electric Pole
28/APCH10/TKOF,TREE,24.7419722222222,84.9644166666667,415,NIL,Group of Trees
28/APCH10/TKOF,POLE,24.7420277777778,84.9646666666667,396,NIL,Telephone Pole
28/APCH10/TKOF,TREE,24.7405555555556,84.965,429,NIL,Group of Trees
28/APCH10/TKOF,TREE,24.7418055555556,84.9659166666667,441,NIL,Group of Trees
28/APCH10/TKOF,TREE,24.7394166666667,84.9662777777778,437,NIL,Group of Trees
28/APCH10/TKOF,TREE,24.7424722222222,84.9616666666667,395,NIL,Tree
28/APCH10/TKOF,TREE,24.7426388888889,84.9626388888889,402,NIL,Tree
28/APCH10/TKOF,NATURAL HIGHPOINT,24.72025,85.0289722222222,906,NIL,Hill Top
28/TKOF10/APCH,TREE,24.7484444444444,84.9368055555556,395,NIL,Tree
In circling area and at AD,TREE,24.7428611111111,84.96425,434,NIL,Group of Trees
In circling area and at AD,POLE,24.7424722222222,84.9644444444445,405,NIL,Telephone Pole
In circling area and at AD,TREE,24.7409444444444,84.9591111111111,419,NIL,Tree
In circling area and at AD,NATURAL HIGHPOINT,24.7390833333333,85.0502222222222,1050,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,24.7760833333333,84.9861111111111,814,NIL,Hill Top
In circling area and at AD,POLE,24.7702777777778,84.99375,907,NIL,Mast on Hill
In circling area and at AD,BUILDING,24.7702777777778,84.99375,843,NIL,Temple on Hill
In circling area and at AD,TREE,24.7471666666667,84.9453888888889,430,NIL,Tree
In circling area and at AD,ANTENNA,24.7468333333333,84.9453888888889,417,NIL,Antenna on ATC
In circling area and at AD,ANTENNA,24.7464166666667,84.9461388888889,422,NIL,W.T Mast
In circling area and at AD,ANTENNA,24.7465555555556,84.9456111111111,417,NIL,W.T Mast
In circling area and at AD,ANTENNA,24.7468055555556,84.9459444444445,420,NIL,W.T Mast
In circling area and at AD,TREE,24.7456944444444,84.9370555555556,390,NIL,Group of Trees
