Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
19/APCH01/TKOF,TREE,24.8290277777778,79.9211944444445,698,NIL,Tree
19/APCH01/TKOF,OTHER,24.8305277777778,79.9221111111111,710,LGTD,Temple Flag Top
19/APCH01/TKOF,TREE,24.8306388888889,79.9228611111111,725,NIL,Tree
19/APCH01/TKOF,TREE,24.8328333333333,79.9243888888889,736,NIL,Group of Trees
19/TKOF01/APCH,ANTENNA,24.8106111111111,79.917,736,NIL,LOC Antenna
19/TKOF01/APCH,NAVAID,24.8104444444444,79.9175,741,NIL,LOC Hut
19/TKOF01/APCH,ANTENNA,24.81125,79.9170277777778,734,NIL,LOC monitor antenna
19/TKOF01/APCH,TREE,24.8098333333333,79.9174722222222,753,NIL,Tree
19/TKOF01/APCH,TREE,24.8065833333333,79.9148055555556,765,NIL,Group of Trees
19/TKOF01/APCH,TREE,24.7872222222222,79.9165555555556,943,NIL,Tree on Dulehri Hill top
19/TKOF01/APCH,OTHER,24.7775,79.9051944444444,1066,NIL,Solar light on Pira Hill top
