Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/APCH04/TKOF,TREE,27.3022222222222,94.1064444444444,400,NIL,TREE
22/TKOF04/APCH,FENCE,27.2873333333333,94.0874444444444,342,NIL,Wire fencing-top
22/TKOF04/APCH,POLE,27.2866944444444,94.0870833333333,344,NIL,Telephone Pole
In circling area and at AD,TOWER,27.2871944444444,94.0910277777778,384,NIL,Met Observatory Tower
In circling area and at AD,OTHER,27.2865,94.0901944444444,378,NIL,OHWT
In circling area and at AD,BUILDING,27.2885833333333,94.0888333333333,341,NIL,Security Hut
22/TKOF04/APCH,BUILDING,27.2845277777778,94.0866944444444,364,NIL,Building
22/TKOF04/APCH,POLE,27.2851111111111,94.0876666666667,354,NIL,Electric Pole
22/APCH04/TKOF,TREE,27.285,94.0840555555556,385,NIL,TREE
22/TKOF04/APCH,POLE,27.2853055555556,94.0870277777778,358,NIL,Electric Pole
22/TKOF04/APCH,POLE,27.2856388888889,94.0866111111111,345,NIL,Telephone Pole
