Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
23/TKOF05/APCH,OTHER,27.4758611111111,95.0111944444444,375,NIL,Mobile Road Traffic
23/APCH05/TKOF,POLE,27.4740833333333,95.0104166666667,372,NIL,Tele. Pole
23/APCH05/TKOF,TREE,27.4741666666667,95.0084444444445,388,NIL,Tree
23/APCH05/TKOF,TREE,27.4726666666667,95.0058888888889,457,NIL,Tree
23/APCH05/TKOF,TREE,27.4694722222222,95.0060555555556,428,NIL,Group Of Trees
23/APCH05/TKOF,TREE,27.4858888888889,95.0117222222222,425,NIL,Tree
23/APCH05/TKOF,TREE,27.4675833333333,95.0039166666667,456,NIL,Group Of Trees
23/APCH05/TKOF,TREE,27.47075,95.0033888888889,432,NIL,Tree
23/APCH05/TKOF,ANTENNA,27.4889166666667,95.0258888888889,367,NIL,LOC Antenna
23/APCH05/TKOF,OTHER,27.489,95.026,377,NIL,Mobile Road Traffic
23/APCH05/TKOF,OTHER,27.4885555555556,95.0262777777778,376,NIL,LOC Hut
23/APCH05/TKOF,TREE,27.4896944444444,95.0254444444444,391,NIL,Tree
23/APCH05/TKOF,TREE,27.493,95.0288888888889,442,NIL,Tree
23/APCH05/TKOF,TREE,27.4929166666667,95.0305277777778,461,NIL,Tree
23/APCH05/TKOF,TREE,27.495,95.0248611111111,433,NIL,Tree
23/APCH05/TKOF,TREE,27.4938611111111,95.0312222222222,428,NIL,Tree
23/APCH05/TKOF,TREE,27.4905277777778,95.0289722222222,424,NIL,Tree
23/TKOF05/APCH,FENCE,27.4759166666667,95.0112777777778,359,NIL,Wire Fence
