Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
25/TKOF07/APCH,BUILDING,25.5865277777778,85.0735277777778,203,NIL,Building
25/TKOF07/APCH,OTHER,25.5859722222222,85.0755833333333,191,NIL,Mobile Road Traffic
25/TKOF07/APCH,OTHER,25.5860833333333,85.0763055555555,200,NIL,Mobile Rail
25/TKOF07/APCH,BUILDING,25.5856944444444,85.0754444444444,194,NIL,Building
25/TKOF07/APCH,BUILDING,25.5845833333333,85.0730555555556,207,NIL,Building
25/TKOF07/APCH,BUILDING,25.5843055555556,85.0722777777778,215,NIL,Building
25/TKOF07/APCH,BUILDING,25.5834722222222,85.0716111111111,220,NIL,Building Rod Top
25/TKOF07/APCH,TREE,25.5854166666667,85.0699166666667,236,NIL,Group of Trees
25/TKOF07/APCH,BUILDING,25.587,85.0757777777778,185,LGTD,LOC Building Lighted Top
25/TKOF07/APCH,FENCE,25.58625,85.0762222222222,183,NIL,Airport BDRY Wall with Fencing on Top
25/TKOF07/APCH,POLE,25.5859444444444,85.0746388888889,205,NIL,Railway Electric Pole
25/TKOF07/APCH,POLE,25.5858055555556,85.0733888888889,206,NIL,Railway Electric Pole
25/TKOF07/APCH,TREE,25.58575,85.0718888888889,211,NIL,Group of Trees
25/TKOF07/APCH,OTHER,25.5860555555556,85.0756388888889,201,NIL,Railway Track Crossing Barrier
25/TKOF07/APCH,BUILDING,25.5841666666667,85.0728611111111,217,NIL,Building Sintex Top
25/TKOF07/APCH,BUILDING,25.5856944444444,85.0757222222222,213,NIL,Building
25/TKOF07/APCH,TREE,25.5873055555556,85.0759166666667,189,NIL,Tree
25/TKOF07/APCH,POLE,25.5861944444444,85.0765277777778,203,NIL,Railway Electric Pole
25/TKOF07/APCH,POLE,25.5860833333333,85.0759722222222,203,NIL,Railway Electric Pole
25/TKOF07/APCH,BUILDING,25.5858888888889,85.0757777777778,206,NIL,Building Rod Top
25/TKOF07/APCH,FENCE,25.5872777777778,85.0760555555556,182,NIL,Airport BDRY Wall with Fencing on Top
25/TKOF07/APCH,OTHER,25.5871944444444,85.0755833333333,185,NIL,Mobile Road Traffic
25/TKOF07/APCH,BUILDING,25.5853333333333,85.0738333333333,210,NIL,Building
25/TKOF07/APCH,BUILDING,25.5851666666667,85.0744444444444,210,NIL,Building
25/TKOF07/APCH,OTHER,25.5825,85.0675277777778,262,NIL,Mobile Mast
25/TKOF07/APCH,OTHER,25.5789722222222,85.0621666666667,309,NIL,Mobile Mast
25/TKOF07/APCH,OTHER,25.5864722222222,85.0773333333333,187,NIL,Mobile Road Traffic
25/TKOF07/APCH,FENCE,25.5863611111111,85.0771388888889,184,NIL,Airport BDRY Wall with Fencing on Top
