Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
31/TKOF13/APCH,OTHER,23.3244166666667,85.3094166666667,2171,NIL,Airport boundary wall with fencing on top
31/TKOF13/APCH,OTHER,23.3246944444444,85.3093611111111,2175,NIL,D. SINHA Market
31/TKOF13/APCH,BUILDING,23.3256944444444,85.3088611111111,2179,NIL,Building
31/TKOF13/APCH,OTHER,23.3245555555556,85.3091666666667,2172,NIL,JAI DEE Auto Shop
31/TKOF13/APCH,POLE,23.3245,85.3091666666667,2179,NIL,Electric Pole
31/TKOF13/APCH,OTHER,23.3245,85.3093333333333,2177,NIL,Mobile Road Traffic
31/TKOF13/APCH,TREE,23.324,85.3077222222222,2208,NIL,Tree
31/TKOF13/APCH,OTHER,23.3238333333333,85.30925,2170,NIL,Localizer Hut
31/TKOF13/APCH,POLE,23.3243333333333,85.3088333333333,2185,NIL,Electric Pole
31/TKOF13/APCH,ANTENNA,23.3244166666667,85.3095833333333,2166,NIL,Localizer Antenna (L-Top) (Lighted)
31/TKOF13/APCH,BUILDING,23.3239722222222,85.3068333333333,2193,NIL,House
31/TKOF13/APCH,BUILDING,23.3238611111111,85.3075555555556,2197,NIL,House
31/TKOF13/APCH,BUILDING,23.3241388888889,85.3079444444444,2196,NIL,House
31/TKOF13/APCH,BUILDING,23.3241388888889,85.3081388888889,2194,NIL,House
31/TKOF13/APCH,BUILDING,23.3244166666667,85.308,2196,NIL,House
31/TKOF13/APCH,BUILDING,23.3243055555556,85.3085277777778,2186,NIL,House
31/TKOF13/APCH,TREE,23.3251111111111,85.3090833333333,2206,NIL,Tree
31/TKOF13/APCH,POLE,23.3238888888889,85.308,2183,NIL,Electric Pole
31/TKOF13/APCH,POLE,23.3241666666667,85.3081666666667,2190,NIL,Electric Pole
31/TKOF13/APCH,OTHER,23.3238888888889,85.3083055555555,2181,NIL,Mobile Road Traffic
31/TKOF13/APCH,POLE,23.3241666666667,85.3085833333333,2186,NIL,Electric Pole
31/TKOF13/APCH,BUILDING,23.3257777777778,85.3101388888889,2178,NIL,House
31/TKOF13/APCH,TREE,23.3245555555556,85.3091944444444,2188,NIL,Tree
31/TKOF13/APCH,POLE,23.3246111111111,85.3092777777778,2182,NIL,Electric Pole
31/TKOF13/APCH,BUILDING,23.3264722222222,85.30975,2176,NIL,Building
31/TKOF13/APCH,OTHER,23.32375,85.3102777777778,2160,NIL,Localizer Monitor Ant.
31/TKOF13/APCH,OTHER,23.3251944444444,85.3102222222222,2169,NIL,Mobile Road Traffic
31/TKOF13/APCH,OTHER,23.3195,85.3134722222222,2158,NIL,Light Post
31/TKOF13/APCH,OTHER,23.3208333333333,85.3118333333333,2164,NIL,Light Post
31/TKOF13/APCH,OTHER,23.3219166666667,85.3104722222222,2171,NIL,Light Post
31/TKOF13/APCH,OTHER,23.3229722222222,85.3090833333333,2179,NIL,Light Post
13/APCH,OTHER,23.3236666666667,85.3080833333333,2184,NIL,Light Post
