Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
24/TKOF06/APCH,WALL,21.17575,81.7296111111111,1018,NIL,Airport BDRY wall with F/T
24/TKOF06/APCH,TREE,21.1751666666667,81.7273055555556,1054,NIL,Group of Trees
24/TKOF06/APCH,OTHER,21.1749722222222,81.7301944444445,1025,NIL,Light on LOC Building Top
24/TKOF06/APCH,OTHER,21.1766666666667,81.7291388888889,1025,NIL,Mobile Road Traffic
24/TKOF06/APCH,WALL,21.1766388888889,81.7290555555556,1021,NIL,BDRY wall with F/ T
24/TKOF06/APCH,OTHER,21.17425,81.7306666666667,1023,NIL,Mobile Road Traffic
24/TKOF06/APCH,OTHER,21.1753055555556,81.7296111111111,1023,NIL,Mobile Road Traffic
24/TKOF06/APCH,ANTENNA,21.1754444444444,81.7299166666667,1016,NIL,LOC Antenna
24/APCH06/TKOF,OTHER,21.1860555555556,81.7515,1040,NIL,Mobile Road Traffic
In circling area and at AD,TREE,21.1704166666667,81.7260555555556,1082,NIL,Group of Trees
In circling area and at AD,OTHER,21.18475,81.7484444444444,1052,NIL,GP Monitor Antenna
In circling area and at AD,ANTENNA,21.1843611111111,81.74775,1081,NIL,GP Antenna
In circling area and at AD,BUILDING,21.1842777777778,81.7476111111111,1049,NIL,GP Building
In circling area and at AD,ANTENNA,21.1843333333333,81.7476666666667,1053,NIL,DME Antenna on GP Building
In circling area and at AD,ANTENNA,21.1834722222222,81.7396944444444,1097,NIL,Beacon on ATC Building
In circling area and at AD,ANTENNA,21.1830277777778,81.7394722222222,1083,NIL,Self-Radiating Mast
In circling area and at AD,OTHER,21.1836111111111,81.7399444444444,1107,NIL,Flood Light
In circling area and at AD,OTHER,21.1837777777778,81.7403611111111,1108,NIL,Flood Light
In circling area and at AD,OTHER,21.18,81.7406666666667,1054,NIL,WDI
In circling area and at AD,OTHER,21.1808055555556,81.7429166666667,1072,NIL,DVOR Monitor Antenna
