Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
34/TKOF16/APCH,OTHER,31.7182222222222,74.7924722222222,764,NIL,SEC. HUT
34/TKOF16/APCH,OTHER,31.7188888888889,74.7943611111111,777,NIL,STRUCTURE
34/TKOF16/APCH,OTHER,31.7186111111111,74.7913333333333,781,NIL,LIGHTEN. ROD
34/TKOF16/APCH,OTHER,31.7188611111111,74.7913055555556,777,NIL,STRUCTURE
34/TKOF16/APCH,OTHER,31.7184722222222,74.79375,764,NIL,STRUCTURE
34/TKOF16/APCH,OTHER,31.7194166666667,74.7938888888889,770,NIL,STRUCTURE
34/TKOF16/APCH,TREE,31.7208888888889,74.7933333333333,771,NIL,TREE
34/TKOF16/APCH,ANTENNA,31.7209166666667,74.7916944444444,768,NIL,LOC ANTENNA
34/TKOF16/APCH,OTHER,31.7211111111111,74.7923055555556,770,NIL,LOC HUT
34/TKOF16/APCH,POLE,31.72125,74.7934722222222,783,NIL,ELECT. POLE
34/TKOF16/APCH,POLE,31.7201388888889,74.7900833333333,782,NIL,ELECT. POLE
34/TKOF16/APCH,POLE,31.7203611111111,74.7900277777778,782,NIL,ELECT. POLE
34/TKOF16/APCH,POLE,31.7230277777778,74.7924722222222,784,NIL,ELECT. POLE
34/TKOF16/APCH,TREE,31.7232222222222,74.7921944444444,825,NIL,TREE
34/TKOF16/APCH,TREE,31.7236388888889,74.7918888888889,813,NIL,TREE
34/TKOF16/APCH,TREE,31.7251944444444,74.7893888888889,803,NIL,TREE
34/TKOF16/APCH,OTHER,31.6978333333333,74.8034722222222,778,NIL,BLAST PAN
34/TKOF16/APCH,TREE,31.6968333333333,74.8025,790,NIL,TREE
34/TKOF16/APCH,TREE,31.6967777777778,74.80275,794,NIL,TREE
34/APCH16/TKOF,TREE,31.6971111111111,74.8037222222222,788,NIL,TREE
34/APCH16/TKOF,POLE,31.6968611111111,74.8040277777778,766,NIL,ELECT. POLE
34/APCH16/TKOF,POLE,31.6970277777778,74.8041666666667,769,NIL,ELECT. POLE
34/APCH16/TKOF,TREE,31.69625,74.8043611111111,807,NIL,TREE
34/APCH16/TKOF,POLE,31.6962222222222,74.8029166666667,771,NIL,ELECT. POLE
34/APCH16/TKOF,POLE,31.6961944444444,74.8025833333333,771,NIL,ELECT. POLE
34/APCH16/TKOF,TREE,31.6953611111111,74.80325,803,NIL,TREE
34/APCH16/TKOF,TREE,31.6946944444444,74.8044444444444,796,NIL,TREE
