Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
34/TKOF16/APCH,TREE,31.8831111111111,77.1523888888889,3627,NIL,Tree
34/TKOF16/APCH,POLE,31.8830833333333,77.15225,3586,NIL,Tele. Pole
34/TKOF16/APCH,POLE,31.8831944444444,77.1523333333333,3620,NIL,Elect. Pole
34/TKOF16/APCH,POLE,31.8830555555556,77.1521111111111,3603,NIL,Elect. Pole
34/TKOF16/APCH,BRIDGE,31.8831666666667,77.1519722222222,3504,NIL,Bridge
34/TKOF16/APCH,BUILDING,31.8832777777778,77.1518888888889,3602,NIL,Building
34/TKOF16/APCH,BUILDING,31.8835833333333,77.1517222222222,3619,NIL,Building
34/TKOF16/APCH,BUILDING,31.8836111111111,77.1514722222222,3603,NIL,Building
34/APCH16/TKOF,TREE,31.88375,77.1513055555556,3610,NIL,Tree
34/APCH16/TKOF,BRIDGE,31.8875833333333,77.1480277777778,3635,NIL,Steel Bridge
34/APCH16/TKOF,TREE,31.8690277777778,77.1589722222222,3615,NIL,GP of Trees
34/APCH16/TKOF,TREE,31.8671666666667,77.1587222222222,3581,NIL,GP of Trees
34/APCH16/TKOF,TREE,31.87,77.1563611111111,3587,NIL,Tree
34/APCH16/TKOF,POLE,31.8664166666667,77.1562222222222,3632,NIL,Elect. Pole
34/APCH16/TKOF,TREE,31.8644166666667,77.15775,3638,NIL,Tree
34/TKOF16/APCH,OTHER,31.8818611111111,77.1520833333333,3578,NIL,B.Wall
34/TKOF16/APCH,OTHER,31.8818611111111,77.1518611111111,3585,NIL,Met Obsr. Box
34/TKOF16/APCH,BUILDING,31.8818888888889,77.1516111111111,3612,NIL,Building
34/TKOF16/APCH,OTHER,31.8818888888889,77.1514444444445,3592,NIL,Wall Fence
34/TKOF16/APCH,TREE,31.8819444444444,77.1510833333333,3636,NIL,Tree
34/TKOF16/APCH,POLE,31.8821944444444,77.1513611111111,3610,NIL,Elect.Pole
34/TKOF16/APCH,BRIDGE,31.8822777777778,77.1513611111111,3604,NIL,Bridge
