Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/APCH08/TKOF,TREE,30.1940555555556,78.2174722222222,2052,NIL,Group of trees
26/APCH08/TKOF,TREE,30.1870277777778,78.1644166666667,1832,NIL,Group of trees
26/APCH08/TKOF,POLE,30.1940555555556,78.2172222222222,2032,NIL,Electric pole
26/APCH08/TKOF,TREE,30.1932222222222,78.2161388888889,2033,NIL,Group of trees
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1910833333333,78.1940555555556,1869,NIL,Ground elevation
26/APCH08/TKOF,TREE,30.1910555555556,78.1956111111111,1960,NIL,Group of trees
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1912222222222,78.1949444444444,1874,NIL,Ground elevation
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1916944444444,78.1953611111111,1877,NIL,Ground elev.
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1928333333333,78.1950833333333,1880,NIL,Ground elev.
26/APCH08/TKOF,POLE,30.1931388888889,78.2161388888889,2016,NIL,Electric pole
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1934722222222,78.195,1880,NIL,Ground elev.
26/APCH08/TKOF,BUILDING,30.1929444444444,78.2154722222222,2007,NIL,House
26/APCH08/TKOF,POLE,30.1923888888889,78.2145833333333,2003,NIL,Electric pole
26/APCH08/TKOF,TREE,30.1935277777778,78.1964166666667,1964,NIL,Group of trees
26/APCH08/TKOF,BUILDING,30.1914166666667,78.2092777777778,1979,NIL,Building
26/APCH08/TKOF,POLE,30.1911944444444,78.2103333333333,1973,NIL,Electric pole
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1919166666667,78.20925,1954,NIL,Ground elev.
26/APCH08/TKOF,OTHER,30.1918333333333,78.2133611111111,1984,NIL,Mobile road traffic
26/APCH08/TKOF,OTHER,30.1913611111111,78.1946666666667,1872,NIL,Mobile road traffic
26/APCH08/TKOF,TREE,30.1931388888889,78.2104722222222,2031,NIL,Group of trees
26/APCH08/TKOF,OTHER,30.1906944444444,78.1953888888889,1885,NIL,Mobile road traffic
26/APCH08/TKOF,NATURAL HIGHPOINT,30.1942222222222,78.2115,1986,NIL,Ground elev.
26/APCH08/TKOF,OTHER,30.1913611111111,78.1956111111111,1892,NIL,Mobile road traffic
26/APCH08/TKOF,TREE,30.1951111111111,78.2131111111111,2060,NIL,Group of trees
26/APCH08/TKOF,POLE,30.1977222222222,78.21525,2055,NIL,Electric pole
26/APCH08/TKOF,POLE,30.19675,78.2166111111111,2054,NIL,Electric pole
26/APCH08/TKOF,POLE,30.1954444444444,78.2188333333333,2053,NIL,Electric pole
26/APCH08/TKOF,BUILDING,30.1942222222222,78.2178888888889,2028,NIL,House
In circling area and at AD,BUILDING,30.1878055555556,78.1736944444445,1813,NIL,House
In circling area and at AD,TREE,30.1878611111111,78.1746944444445,1813,NIL,Group of trees
In circling area and at AD,POLE,30.1874722222222,78.1714722222222,1789,NIL,Electric pole
In circling area and at AD,POLE,30.1905555555556,78.1758333333333,1806,NIL,Electric pole
In circling area and at AD,TREE,30.1906111111111,78.1753888888889,1821,NIL,Group of trees
In circling area and at AD,TREE,30.1899166666667,78.1696666666667,1821,NIL,Tree
In circling area and at AD,TREE,30.19,78.1680555555556,1831,NIL,Group of trees
In circling area and at AD,TREE,30.1876944444444,78.1728055555556,1796,NIL,Group of trees
26/APCH08/TKOF,OTHER,30.19325,78.2210555555556,2050,NIL,Mobile road traffic
26/APCH08/TKOF,TREE,30.1980277777778,78.2257777777778,2220,NIL,Tree
26/APCH08/TKOF,TREE,30.1990555555556,78.2265833333333,2218,NIL,Tree
In circling area and at AD,NATURAL HIGHPOINT,30.1909166666667,78.1931111111111,1864,NIL,Ground elev.
In circling area and at AD,OTHER,30.1998888888889,78.22775,2199,NIL,Mobile road traffic
In circling area and at AD,BUILDING,30.18925,78.2182777777778,2005,NIL,Building
In circling area and at AD,TREE,30.1892222222222,78.2191388888889,2054,NIL,Tree
In circling area and at AD,OTHER,30.1907777777778,78.1923055555556,1880,NIL,Temporary site office (PNC)
In circling area and at AD,OTHER,30.1908333333333,78.1931944444444,1874,NIL,Temporary hut
In circling area and at AD,TREE,30.1891388888889,78.1927222222222,1928,NIL,Group of trees
In circling area and at AD,TREE,30.1888611111111,78.1954722222222,1978,NIL,Group of trees
In circling area and at AD,TREE,30.1902777777778,78.1953333333333,1974,NIL,Group of trees
In circling area and at AD,TREE,30.1946111111111,78.1968055555556,1970,NIL,Group of trees
In circling area and at AD,TREE,30.1897222222222,78.2173888888889,2040,NIL,Tree
In circling area and at AD,TREE,30.1956944444444,78.1971388888889,1962,NIL,Group of trees
In circling area and at AD,OTHER,30.1904722222222,78.2193333333333,2014,NIL,Mobile road traffic
In circling area and at AD,OTHER,30.1924444444444,78.1862777777778,1871,NIL,NDB mast.
In circling area and at AD,OTHER,30.1924444444444,78.1864166666667,1867,NIL,Cage Ariel
In circling area and at AD,OTHER,30.1898055555556,78.1846388888889,1845,NIL,Wind direction indicator
In circling area and at AD,OTHER,30.1924722222222,78.1865555555556,1873,NIL,NDB mast.
In circling area and at AD,ANTENNA,30.1925277777778,78.1865833333333,1859,NIL,Mobile ATC (antenna top)
In circling area and at AD,POLE,30.1884444444444,78.1777222222222,1813,NIL,Electric pole
In circling area and at AD,POLE,30.1885833333333,78.1786111111111,1818,NIL,Electric pole
In circling area and at AD,TREE,30.192,78.1825555555556,1853,NIL,Group of trees
In circling area and at AD,TREE,30.1885833333333,78.1787222222222,1841,NIL,Group of trees
In circling area and at AD,TREE,30.1871944444444,78.1785277777778,1870,NIL,Group of trees
In circling area and at AD,BUILDING,30.1882222222222,78.1793333333333,1831,NIL,Building
In circling area and at AD,NATURAL HIGHPOINT,30.2899166666667,78.2232777777778,5692,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.2844444444444,78.2564166666667,6483,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.2491388888889,78.2394166666667,4469,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.2456944444444,78.3009444444444,6614,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.1979444444444,78.2591666666667,3635,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.1760833333333,78.3151666666667,5443,NIL,Hill
In circling area and at AD,NATURAL HIGHPOINT,30.1903611111111,78.1895833333333,1846,NIL,Ground elev.
In circling area and at AD,TREE,30.1905,78.2191388888889,2055,NIL,Tree
In circling area and at AD,TREE,30.1888888888889,78.1843333333333,1882,NIL,Group of trees
In circling area and at AD,TREE,30.189,78.1860555555556,1910,NIL,Group of trees
In circling area and at AD,TREE,30.1890277777778,78.1876111111111,1902,NIL,Group of trees
In circling area and at AD,NATURAL HIGHPOINT,30.2797222222222,78.1654166666667,4423,NIL,Hill
