Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
28/APCH10/TKOF,ELECTRICAL EXIT LIGHT,28.5585833333333,77.1228611111111,778,LGTD,APP LGTS
28/APCH10/TKOF,ELECTRICAL EXIT LIGHT,28.5585,77.1231388888889,779,LGTD,APP LGTS
28/APCH10/TKOF,ELECTRICAL EXIT LIGHT,28.5584444444444,77.1234722222222,780,LGTD,APP LGTS
28/APCH10/TKOF,ANTENNA,28.5581111111111,77.1248611111111,790,NIL,LOC Antenna
28/APCH10/TKOF,BUILDING,28.5575,77.1247777777778,794,NIL,LOC Building
28/APCH10/TKOF,BUILDING,28.5590833333333,77.1293055555555,817,NIL,Disused Hut
28/APCH10/TKOF,BUILDING,28.5565833333333,77.1643611111111,947,NIL,Hotel Antenna Vasant
28/APCH10/TKOF,WALL,28.5588611111111,77.1283888888889,811,NIL,Ap Bnd Wall
28/APCH10/TKOF,OTHER,28.5589166666667,77.1283611111111,817,NIL,Mobile Traffic Rd
27/TKOF09/APCH,ELECTRICAL EXIT LIGHT,28.5705555555556,77.0877222222222,718,LGTD,APP LGTS
27/TKOF09/APCH,ELECTRICAL EXIT LIGHT,28.5705555555556,77.0873888888889,718,LGTD,APP LGTS
27/TKOF09/APCH,TREE,28.5705277777778,77.1169444444444,784,NIL,Group of Trees
27/APCH09/TKOF,BUILDING,28.5703333333333,77.1168888888889,761,NIL,Security hut
27/APCH09/TKOF,OTHER,28.5703055555556,77.1173055555555,768,NIL,Mobile Traffic Rd
27/APCH09/TKOF,FENCE,28.5703333333333,77.1171666666667,760,NIL,Wire Fencing
27/APCH09/TKOF,TREE,28.5705277777778,77.1183888888889,798,NIL,Group of Trees
27/APCH09/TKOF,TREE,28.5707777777778,77.1195833333333,817,NIL,Group of Trees
27/APCH09/TKOF,TREE,28.5704166666667,77.1193055555556,798,NIL,Group of Trees
27/APCH09/TKOF,POLE,28.5704166666667,77.1197777777778,782,NIL,Electric Pole
27/APCH09/TKOF,TREE,28.5687777777778,77.1205,807,NIL,Pipal Tree
27/APCH09/TKOF,TREE,28.5685277777778,77.1213333333333,810,NIL,Pipal Tree
27/APCH09/TKOF,TREE,28.5706944444444,77.1211944444444,816,NIL,Tree
27/APCH09/TKOF,POLE,28.5705555555556,77.1211388888889,784,NIL,Pole
27/APCH09/TKOF,TREE,28.5702777777778,77.1213333333333,787,NIL,Tree
27/APCH09/TKOF,POLE,28.5704166666667,77.1221111111111,785,NIL,Electric Pole
27/APCH09/TKOF,TREE,28.5699166666667,77.1213888888889,801,NIL,Tree
27/APCH09/TKOF,TREE,28.5696388888889,77.1214444444444,798,NIL,Tree
27/APCH09/TKOF,HEAT COOL SYSTEM,28.5691944444444,77.12175,786,NIL,Vent Pipe
27/APCH09/TKOF,TREE,28.5690277777778,77.1220555555555,799,NIL,Tree
27/APCH09/TKOF,WALL,28.5688055555556,77.1219444444444,782,NIL,Bound.Wall
27/APCH09/TKOF,TREE,28.5688055555556,77.122,811,NIL,Tree
27/APCH09/TKOF,ANTENNA,28.5704444444444,77.1259444444444,811,NIL,Buliding Antenna top
27/APCH09/TKOF,BUILDING,28.5715555555556,77.1276388888889,824,NIL,Buliding
27/APCH09/TKOF,TREE,28.5676388888889,77.1285833333333,847,NIL,Tree
27/APCH09/TKOF,TREE,28.56825,77.1297777777778,846,NIL,Group of Trees
27/APCH09/TKOF,TREE,28.5717222222222,77.1359722222222,872,NIL,Tree
27/APCH09/TKOF,TREE,28.5678333333333,77.1300833333333,844,NIL,Group of Trees
27/APCH09/TKOF,BUILDING,28.56875,77.1201666666667,782,NIL,Buliding
27/APCH09/TKOF,POLE,28.5706388888889,77.1200277777778,778,NIL,Electrical Pole
27/APCH09/TKOF,TREE,28.5556388888889,77.1276388888889,811,NIL,Tree
28/TKOF10/APCH,BUILDING,28.5687222222222,77.0843888888889,723,NIL,Structure Remarks: Pitampura Obstruction LGT Not Available.
