Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,TREE,26.8220277777778,75.7949166666667,1306,NIL,TREE
27/TKOF09/APCH,TREE,26.8218333333333,75.7954166666667,1289,NIL,TREE
27/TKOF09/APCH,TREE,26.8216388888889,75.7953611111111,1299,NIL,TREE
27/TKOF09/APCH,BUILDING,26.8211666666667,75.7953888888889,1287,NIL,BUILDING
27/TKOF09/APCH,TREE,26.8213055555556,75.795,1300,NIL,TREE
27/TKOF09/APCH,TREE,26.8213055555556,75.7944166666667,1294,NIL,TREE
27/TKOF09/APCH,BUILDING,26.82375,75.7949722222222,1291,NIL,BUILDING
27/TKOF09/APCH,TREE,26.8238055555556,75.7953055555556,1295,NIL,TREE
27/TKOF09/APCH,BUILDING,26.8241111111111,75.7946111111111,1302,NIL,BUILDING
27/TKOF09/APCH,BUILDING,26.8239722222222,75.7942777777778,1295,NIL,BUILDING
27/TKOF09/APCH,TREE,26.8208888888889,75.7934722222222,1302,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,26.8231111111111,75.7926666666667,1305,NIL,TREE
27/TKOF09/APCH,BUILDING,26.8241388888889,75.7930277777778,1306,NIL,BUILDING
27/TKOF09/APCH,TREE,26.821,75.7954722222222,1289,NIL,TREE
27/TKOF09/APCH,TREE,26.8244166666667,75.7948611111111,1310,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,26.8231944444444,75.7950555555555,1288,NIL,GROUP OF TREES
27/TKOF09/APCH,ANTENNA,26.8211388888889,75.7961111111111,1289,NIL,SMR ANTENNA
In circling area and at AD,OTHER,26.8263611111111,75.8230555555556,1260,NIL,G.P. HUT TOP
In circling area and at AD,ANTENNA,26.8263611111111,75.8231111111111,1300,NIL,G.P. ANTENNA
In circling area and at AD,ANTENNA,26.8264444444444,75.8238611111111,1263,NIL,G.P. MONITOR ANTENNA
In circling area and at AD,ANTENNA,26.8251944444444,75.81275,1260,NIL,MET ANTENNA
In circling area and at AD,ANTENNA,26.8252777777778,75.8135,1260,NIL,MET ANTENNA
In circling area and at AD,ANTENNA,26.8258611111111,75.8198888888889,1257,NIL,MET ANTENNA
In circling area and at AD,ANTENNA,26.8258888888889,75.8200277777778,1257,NIL,MET ANTENNA
In circling area and at AD,ANTENNA,26.826,75.8202222222222,1276,NIL,MET ANTENNA
In circling area and at AD,ANTENNA,26.8259444444444,75.8206388888889,1257,NIL,MET ANTENNA
In circling area and at AD,OTHER,26.8259444444444,75.8230277777778,1258,NIL,RWY WAYX-ING LIGHT
In circling area and at AD,OTHER,26.8227222222222,75.8066388888889,1264,NIL,VISIBILITY TRANSMISSIO-METER
In circling area and at AD,OTHER,26.82275,75.8101666666667,1257,NIL,WORKSHOP
In circling area and at AD,OTHER,26.8231944444444,75.8140833333333,1296,NIL,MIXING PLANT
In circling area and at AD,BUILDING,26.8235555555556,75.8180833333333,1259,NIL,BUILDING
In circling area and at AD,ANTENNA,26.8235,75.8184722222222,1295,NIL,ANTENNA
In circling area and at AD,TANK,26.8236388888889,75.8184444444444,1262,NIL,WATER TANK
In circling area and at AD,OTHER,26.8235555555556,75.8188333333333,1288,NIL,FLOOD LIGHT
In circling area and at AD,WALL,26.8238888888889,75.8198611111111,1256,NIL,BOUNDARY WALL
In circling area and at AD,OTHER,26.8249444444444,75.82325,1255,NIL,PAPI
In circling area and at AD,POLE,26.8234166666667,75.8166388888889,1289,NIL,LIGHT POLE
