Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
23/APCH05/TKOF,NATURAL HIGHPOINT,26.6499166666667,74.8851666666667,2045,NIL,HILL
23/APCH05/TKOF,NATURAL HIGHPOINT,26.6365555555556,74.8788055555555,2030,NIL,HILL
23/TKOF05/APCH,BUILDING,26.5672777777778,74.7896388888889,1628,NIL,TEMPLE ON HILL LOCK
23/TKOF05/APCH,OTHER,26.5187777777778,74.7156944444445,2197,NIL,MAST
23/TKOF05/APCH,TREE,26.5681666666667,74.7903888888889,1630,NIL,TREE ON HILL LOCK
In circling area and at AD,NATURAL HIGHPOINT,26.634,74.8170277777778,2047,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,26.6300555555556,74.8153333333333,1867,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,26.6278888888889,74.8142222222222,1710,NIL,HILL
In circling area and at AD,OTHER,26.5918333333333,74.8395,1628,NIL,MAST
In circling area and at AD,NATURAL HIGHPOINT,26.5973611111111,74.8431388888889,2100,NIL,HILL
In circling area and at AD,OTHER,26.5653888888889,74.8175833333333,1723,NIL,MAST
In circling area and at AD,OTHER,26.5696944444444,74.81175,1651,NIL,MAST
In circling area and at AD,OTHER,26.5648055555556,74.80975,1684,NIL,MAST
In circling area and at AD,OTHER,26.58475,74.7761944444444,1631,NIL,MAST
In circling area and at AD,NATURAL HIGHPOINT,26.5456388888889,74.8324166666667,2061,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,26.521,74.8321944444444,2198,NIL,HILL In c
ircling area and at AD,NATURAL HIGHPOINT,26.5027777777778,74.8176666666667,2438,NIL,HILL
In circling area and at AD,OTHER,26.59425,74.8196944444444,1495,NIL,WIND VANE
In circling area and at AD,OTHER,26.5966111111111,74.8180555555555,1495,NIL,W.D.I.(L)
In circling area and at AD,OTHER,26.5885,74.8075,1490,NIL,W.D.I.
