Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
30/APCH12/TKOF,TREE,30.8475555555556,75.9651944444444,906,NIL,GROUP OF TREES
30/APCH12/TKOF,TREE,30.8485833333333,75.9680277777778,890,NIL,GROUP OF TREES
30/TKOF12/APCH,BUILDING,30.8566944444444,75.9469444444445,844,NIL,SECURITY HUT
30/APCH12/TKOF,TREE,30.8499444444444,75.964,869,NIL,GROUP OF TREES
30/TKOF12/APCH,ANTENNA,30.8577777777778,75.9454444444444,853,NIL,ANTENNA ON BLDG
30/APCH12/TKOF,WALL,30.8499166666667,75.9624444444444,840,NIL,BOUNDARY WALL
30/TKOF12/APCH,TREE,30.8596111111111,75.9417777777778,901,NIL,GROUP OF TREES
30/APCH12/TKOF,POLE,30.8479444444444,75.9641388888889,863,NIL,ELECTRIC POLE
30/TKOF12/APCH,OTHER,30.8581388888889,75.947,848,NIL,MOBILE TRAFFIC
30/TKOF12/APCH,TREE,30.8581388888889,75.9465833333333,889,NIL,GROUP OF TREES
