Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,OTHER,26.7618333333333,80.8728611111111,420,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV.123.0M+5M MOBILE TRAFFIC)
27/TKOF09/APCH,OTHER,26.7603055555556,80.872,423,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV.123.8M+5M MOBILE TRAFFIC)
27/TKOF09/APCH,STADIUM,26.7593888888889,80.86825,446,NIL,INDOOR STADIUM (S.A.I.)
27/TKOF09/APCH,OTHER,26.7614166666667,80.8726388888889,423,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV.123.8M+5M MOBILE TRAFFIC)
27/TKOF09/APCH,OTHER,26.7585,80.8695833333333,462,NIL,CELLPHONE MAST
27/TKOF09/APCH,TREE,26.7613333333333,80.9067777777778,433,NIL,Peepal Tree
27/TKOF09/APCH,TREE,26.7613333333333,80.9068333333333,431,NIL,Neem Tree
27/TKOF09/APCH,TREE,26.7613333333333,80.9066944444445,425,NIL,Neem Tree
27/TKOF09/APCH,TREE,26.7613333333333,80.9064444444444,438,NIL,Peepal Tree
27/TKOF09/APCH,TREE,26.7613055555556,80.9063888888889,432,NIL,Peepal Tree
27/TKOF09/APCH,TREE,26.7613333333333,80.9062777777778,430,NIL,Tree
27/TKOF09/APCH,ANTENNA,26.7607777777778,80.9064166666667,420,NIL,Alignment antenna
27/TKOF09/APCH,OTHER,26.7609444444444,80.8723888888889,421,NIL,Mobile Road Traffic
27/APCH09/TKOF,OTHER,26.7617777777778,80.9058333333333,418,NIL,MOBILE ROAD TRAFFIC (ROAD ELEV.122.3M+5M MOBILE TRAFFIC)
27/APCH09/TKOF,TREE,26.7618333333333,80.9060833333333,444,NIL,TREE
27/APCH09/TKOF,OTHER,26.7609444444444,80.8723888888889,421,NIL,Mobile Road Traffic
In circling area and at AD,OTHER,26.7603611111111,80.8748888888889,407,NIL,APPROACH LIGHT
In circling area and at AD,BUILDING,26.7583055555556,80.8700555555556,440,NIL,BUILDING TOP
In circling area and at AD,BUILDING,26.7618888888889,80.87675,416,NIL,SECURITY HUT
In circling area and at AD,OTHER,26.7591666666667,80.8962777777778,405,NIL,MET BLDG
In circling area and at AD,BUILDING,26.7618888888889,80.89975,413,NIL,G.P. HUT
In circling area and at AD,TREE,26.7627777777778,80.90175,446,NIL,GROUP OF TREES
In circling area and at AD,TREE,26.7625277777778,80.9060555555556,435,NIL,GROUP OF TREES
In circling area and at AD,OTHER,26.7598888888889,80.90025,409,NIL,MET INSTRUMENT
In circling area and at AD,ANTENNA,26.7618611111111,80.8998055555556,454,NIL,G.P. ANTENNA
In circling area and at AD,TREE,26.7586944444444,80.8989444444445,462,NIL,GROUP OF TREES
In circling area and at AD,ANTENNA,26.7617777777778,80.9005555555556,416,NIL,G.P. MONITOR ANTENNA
In circling area and at AD,POLE,26.7592777777778,80.8970555555556,410,NIL,MET POLE
In circling area and at AD,TREE,26.76275,80.9025,445,NIL,GROUP OF TREES
In circling area and at AD,OTHER,26.7425555555556,80.8488333333333,574,NIL,PYLON MAST In c i
rcling area and at AD,OTHER,26.7427777777778,80.8511944444444,579,NIL,PYLON MAST
In circling area and at AD,TOWER,26.8734166666667,80.8658055555556,981,NIL,T. V. TOWER
In circling area and at AD,OTHER,26.7761666666667,80.8463333333333,571,NIL,CELLPHONE MAST
In circling area and at AD,OTHER,26.7621944444444,80.8884166666667,424,NIL,W.D.I.
In circling area and at AD,OTHER,26.7591666666667,80.8955555555556,410,NIL,MET LIGHT
In circling area and at AD,OTHER,26.7613055555556,80.8842222222222,400,NIL,TAXI HOLDING B
In circling area and at AD,TOWER,26.7819444444444,80.8871944444444,557,NIL,BSNL tower
In circling area and at AD,TOWER,26.7437777777778,80.8598333333333,599,NIL,Tower
In circling area and at AD,TOWER,26.7408055555556,80.8636111111111,609,NIL,Tower
In circling area and at AD,TOWER,26.74225,80.8632777777778,588,NIL,Tower
In circling area and at AD,OTHER,26.7443611111111,80.8511666666667,556,NIL,Pylon
In circling area and at AD,OTHER,26.7598888888889,80.90025,409,NIL,Telvent Scopograph
In circling area and at AD,OTHER,26.7599166666667,80.8996111111111,420,NIL,WDI
In circling area and at AD,OTHER,26.7603333333333,80.8993888888889,403,NIL,PAPI
In circling area and at AD,OTHER,26.76025,80.8993888888889,403,NIL,PAPI
In circling area and at AD,OTHER,26.7601666666667,80.8993888888889,403,NIL,PAPI
In circling area and at AD,OTHER,26.7601111111111,80.8994166666667,403,NIL,PAPI
In circling area and at AD,OTHER,26.7600833333333,80.8803888888889,405,NIL,PAPI
In circling area and at AD,OTHER,26.76,80.8803888888889,405,NIL,PAPI
In circling area and at AD,OTHER,26.7599166666667,80.8803888888889,405,NIL,PAPI
In circling area and at AD,OTHER,26.7598333333333,80.8803888888889,405,NIL,PAPI
In circling area and at AD,ELECTRICAL SYSTEM,26.7598055555556,80.8786944444444,405,NIL,Electric pillar box
