Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
28/TKOF10/APCH,WALL,29.0344722222222,79.4638888888889,774,NIL,Airport Boundary wall with F/T
28/TKOF10/APCH,OTHER,29.0343611111111,79.4648055555556,768,LGTD,Approach Light
28/TKOF10/APCH,TREE,29.035,79.4629444444444,817,NIL,Group of Trees
28/TKOF10/APCH,TREE,29.0344444444444,79.46075,824,NIL,Tree
28/TKOF10/APCH,TREE,29.0360555555556,79.4601666666667,837,NIL,Group of Trees
28/TKOF10/APCH,TREE,29.0344444444444,79.4590277777778,844,NIL,Group of Trees
28/TKOF10/APCH,TREE,29.0354722222222,79.4572222222222,849,NIL,Group of Trees
28/TKOF10/APCH,TREE,29.0365,79.4556111111111,838,NIL,Group of Trees
28/TKOF10/APCH,TREE,29.0356666666667,79.4545,843,NIL,Group of Trees
28/APCH10/TKOF,TREE,29.0330833333333,79.4806111111111,840,NIL,Tree
28/APCH10/TKOF,OTHER,29.0329444444444,79.4806666666667,783,NIL,Mobile Road Traffic
28/APCH10/TKOF,WALL,29.0331944444444,79.48075,775,NIL,Airport Boundary wall Top
28/APCH10/TKOF,TREE,29.0328888888889,79.4816666666667,809,NIL,Group of Trees
28/APCH10/TKOF,TREE,29.033,79.4828611111111,829,NIL,Group of Trees
28/APCH10/TKOF,TREE,29.0316111111111,79.4814166666667,808,NIL,Tree
28/APCH10/TKOF,OTHER,29.0314166666667,79.48175,785,NIL,Mobile Road Traffic
28/APCH10/TKOF,POLE,29.0325277777778,79.4828611111111,789,NIL,Electric Pole
28/APCH10/TKOF,TREE,29.0320555555556,79.4834444444444,814,NIL,Tree
28/APCH10/TKOF,TREE,29.0309166666667,79.4836944444444,832,NIL,Group of Trees
28/APCH10/TKOF,TREE,29.0307777777778,79.4848055555556,840,NIL,Group of Trees
28/APCH10/TKOF,TREE,29.0313333333333,79.4866388888889,854,NIL,Group of Trees
In circling area and at AD,TREE,29.0349444444444,79.4681111111111,819,NIL,Tree
In circling area and at AD,TREE,29.03225,79.4649444444444,858,NIL,Group of Trees
In circling area and at AD,TREE,29.0325555555556,79.4637222222222,874,NIL,Group of Trees
In circling area and at AD,TREE,29.0329722222222,79.4620555555556,862,NIL,Group of Trees
In circling area and at AD,TREE,29.0332777777778,79.4639444444445,814,NIL,Tree
In circling area and at AD,TREE,29.0353055555556,79.46475,832,NIL,Group of Trees
In circling area and at AD,TREE,29.0332777777778,79.4609166666667,864,NIL,Group of Trees
In circling area and at AD,TREE,29.03625,79.4626111111111,852,NIL,Group of Trees
In circling area and at AD,TREE,29.0311111111111,79.4788611111111,826,NIL,Group of Trees
In circling area and at AD,TREE,29.0313055555556,79.4804722222222,824,NIL,Group of Trees
In circling area and at AD,TREE,29.0343888888889,79.4824166666667,858,NIL,Group of Trees
In circling area and at AD,TREE,29.0341111111111,79.4846666666667,854,NIL,Group of Trees
In circling area and at AD,TREE,29.0305555555556,79.4819444444445,829,NIL,Group of Trees
In circling area and at AD,TREE,29.0336111111111,79.4795,846,NIL,Group of Trees
