Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
32/TKOF14/APCH,POLE,31.0871111111111,77.0633888888889,5076,NIL,LIGHT POLE
In circling area and at AD,ANTENNA,31.0852777777778,77.0664444444444,5106,NIL,ANTENNA ON HUT
In circling area and at AD,ANTENNA,31.0854722222222,77.0663055555556,5128,NIL,ANTENNA ON ATC
In circling area and at AD,BUILDING,31.0855,77.0662777777778,5116,NIL,ATC BEACON
In circling area and at AD,NAVAID,31.0862222222222,77.0632777777778,5102,NIL,DVOR DME TOP
In circling area and at AD,NAVAID,31.0855277777778,77.0641388888889,5098,NIL,DVOR MONITOR L/R
In circling area and at AD,OTHER,31.0866944444444,77.0656111111111,5106,NIL,FIRE TOWER ROD
In circling area and at AD,TREE,31.0882222222222,77.0638333333333,5106,NIL,Group of Trees
In circling area and at AD,TREE,31.0836388888889,77.0657777777778,5077,NIL,GROUP OF TREES
In circling area and at AD,TREE,31.0833611111111,77.0660277777778,5079,NIL,GROUP OF TREES
In circling area and at AD,TREE,31.0831111111111,77.0664166666667,5077,NIL,Group of Trees
In circling area and at AD,TREE,31.0880555555556,77.0641111111111,5105,NIL,Group of Trees
In circling area and at AD,TREE,31.0865277777778,77.0664444444444,5168,NIL,GROUP OF TREE
In circling area and at AD,BUILDING,31.0867222222222,77.0663888888889,5140,NIL,OHWT
In circling area and at AD,BUILDING,31.0866666666667,77.0664166666667,5142,NIL,OHWT ON HILL
In circling area and at AD,BUILDING,31.0841666666667,77.0668611111111,5070,NIL,SECURITY HUT
In circling area and at AD,OTHER,31.0874166666667,77.0645277777778,5095,NIL,WDI TOP
In circling area and at AD,TREE,31.0799444444444,77.0703333333333,5066,NIL,Group of Trees
In circling area and at AD,TREE,31.0801944444444,77.0684444444444,5067,NIL,Group of Trees
In circling area and at AD,TREE,31.0775833333333,77.0706111111111,5056,NIL,GROUP OF TREES
In circling area and at AD,POLE,31.0781944444444,77.0702777777778,5047,NIL,LIGHT POLE
In circling area and at AD,OTHER,31.0542222222222,77.1394166666667,7165,NIL,MAST NEAR TARA TEMPLE HILL
In circling area and at AD,TREE,31.1065555555556,77.1061111111111,6655,NIL,TREE TOP ON JUTOGH HIL
In circling area and at AD,TREE,31.10475,77.11425,6811,NIL,TREE ON HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.0955277777778,77.1349722222222,7215,NIL,HILL TOP
In circling area and at AD,BUILDING,31.0511666666667,77.1484722222222,7178,NIL,HOUSE ON HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.02075,77.1368055555556,6808,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.0234444444444,77.1213333333333,6467,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.0313333333333,77.11025,6296,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,30.9953055555556,77.0998611111111,6473,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.0601666666667,77.0359444444444,5256,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.1624166666667,77.0409166666667,5846,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.1561111111111,77.08125,6289,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.1293055555556,77.1003055555556,6470,NIL,HILL TOP
In circling area and at AD,NATURAL HIGHPOINT,31.1961388888889,77.0631944444444,6086,NIL,HILL TOP
