Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/TKOF04/APCH,FENCE,10.8181388888889,72.1723333333333,14,NIL,Wire Fencing
22/APCH04/TKOF,BUILDING,10.8281388888889,72.1793888888889,44,NIL,ATC Building
22/APCH04/TKOF,ANTENNA,10.8281111111111,72.1793611111111,54,NIL,VHF Mast on ATC
22/APCH04/TKOF,BUILDING,10.8284166666667,72.1795833333333,33,NIL,Building DEP
22/APCH04/TKOF,NAVAID,10.8288888888889,72.1794444444444,45,NIL,DME
22/APCH04/TKOF,ANTENNA,10.8286111111111,72.1797222222222,42,NIL,Mast (IRLD)
22/APCH04/TKOF,BUILDING,10.82875,72.1796944444445,27,NIL,Building (Arrival)
22/APCH04/TKOF,POWER PLANT,10.8289722222222,72.1797222222222,31,NIL,Power House
22/APCH04/TKOF,ANTENNA,10.8293055555556,72.1788888888889,55,NIL,NDB Mast
22/APCH04/TKOF,ANTENNA,10.8295,72.1788611111111,29,NIL,Dish Antenna
22/APCH04/TKOF,ANTENNA,10.8295555555556,72.1789722222222,48,NIL,Antenna (GAGAN Project)
22/APCH04/TKOF,TREE,10.8296944444444,72.1793055555556,72,NIL,Group of Trees
22/APCH04/TKOF,TREE,10.8291388888889,72.1800833333333,66,NIL,Group of Trees
22/APCH04/TKOF,TREE,10.8302777777778,72.18,64,NIL,Group of Trees
22/APCH04/TKOF,TREE,10.8313055555556,72.1798055555556,60,NIL,Group of Trees
22/APCH04/TKOF,TREE,10.83075,72.1803333333333,77,NIL,Group of Trees
22/APCH04/TKOF,TREE,10.8321388888889,72.1810833333333,73,NIL,Group of Trees
In circling area and at AD,POLE,10.8188611111111,72.1726388888889,29,NIL,WDI
In circling area and at AD,TREE,10.81875,72.17275,29,NIL,Bushes
In circling area and at AD,FENCE,10.8188055555556,72.172,13,NIL,Wire Fencing
In circling area and at AD,TREE,10.8191111111111,72.1717777777778,25,NIL,Bushes
In circling area and at AD,POLE,10.8271944444444,72.1787777777778,22,NIL,Wind Sock
In circling area and at AD,TREE,10.8198888888889,72.1723333333333,33,NIL,Group of Trees
In circling area and at AD,POLE,10.8274722222222,72.179,31,NIL,WDI
In circling area and at AD,BUILDING,10.8276111111111,72.1790277777778,18,NIL,Met Observatory
In circling area and at AD,ANTENNA,10.8278611111111,72.1792222222222,25,NIL,Dish Antenna
In circling area and at AD,TREE,10.8240833333333,72.1753333333333,22,NIL,Bushes
In circling area and at AD,TREE,10.8221111111111,72.174,25,NIL,Bushes
In circling area and at AD,TREE,10.8209166666667,72.1731666666667,29,NIL,Bushes
In circling area and at AD,TREE,10.8214722222222,72.1745833333333,29,NIL,Bushes
In circling area and at AD,TREE,10.8224166666667,72.1753333333333,30,NIL,Bushes
