Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,TREE,12.9486666666667,77.6488611111111,2898,NIL,Tree on Bund
27/TKOF09/APCH,TREE,12.9481388888889,77.6473888888889,2933,NIL,Tree (Pipal)
27/TKOF09/APCH,TREE,12.9483888888889,77.6461111111111,2948,NIL,Tree
27/TKOF09/APCH,TREE,12.9478888888889,77.6424444444445,2966,NIL,Tree
27/TKOF09/APCH,TREE,12.9472222222222,77.6498055555556,2946,NIL,Tree
27/TKOF09/APCH,OTHER,12.9489444444444,77.6491666666667,2890,NIL,Mobile Road Traffic
27/TKOF09/APCH,TREE,12.9499444444444,77.6494444444445,2922,NIL,Tree
27/TKOF09/APCH,TREE,12.9488611111111,77.6456388888889,2932,NIL,Tree
27/TKOF09/APCH,TREE,12.9492222222222,77.6449444444444,2958,NIL,Tree
27/TKOF09/APCH,BUILDING,12.9481388888889,77.6425277777778,2946,NIL,Building
27/TKOF09/APCH,TREE,12.9479444444444,77.6475555555556,2953,NIL,Group of Trees
27/TKOF09/APCH,TREE,12.9503888888889,77.64425,2965,NIL,Group of Trees
27/TKOF09/APCH,POLE,12.9498333333333,77.65325,2894,NIL,WDI
27/TKOF09/APCH,BUILDING,12.9495,77.6528888888889,2882,NIL,Temple
27/TKOF09/APCH,FUEL SYSTEM,12.9481388888889,77.65325,2882,NIL,Pump Station
27/TKOF09/APCH,POLE,12.9479444444444,77.6533333333333,2893,NIL,Electric Pole
27/TKOF09/APCH,WALL,12.9478888888889,77.6533333333333,2876,NIL,Boundary Wall
27/TKOF09/APCH,OTHER,12.9476944444444,77.6533333333333,2889,NIL,Mobile Road Traffic
27/TKOF09/APCH,ANTENNA,12.9489444444444,77.6511666666667,2878,NIL,LOC Antenna
27/TKOF09/APCH,OTHER,12.95075,77.6505555555556,2891,NIL,Mobile Road Traffic
27/APCH09/TKOF,BUILDING,12.9524166666667,77.6843888888889,2903,NIL,Security Hut
27/APCH09/TKOF,BUILDING,12.9507777777778,77.6843888888889,2903,NIL,Security Hut
27/APCH09/TKOF,POLE,12.9492222222222,77.685,2912,NIL,WDI
27/APCH09/TKOF,TREE,12.9516944444444,77.6903611111111,2900,NIL,Tree
27/APCH09/TKOF,POLE,12.9507777777778,77.7175555555556,3000,NIL,HT Pylon Mast
27/APCH09/TKOF,POLE,12.9545,77.7176666666667,3013,NIL,HT Pylon Mast
In circling area and at AD,POLE,13.0658333333333,77.7837777777778,3287,LGTD,Air Mast
In circling area and at AD,TOWER,12.9161388888889,77.5930555555556,3402,LGTD,TV Tower
In circling area and at AD,TOWER,12.9161111111111,77.5813055555555,3363,LGTD,Microwave Tower 2
In circling area and at AD,TOWER,12.9816666666667,77.5890833333333,3271,LGTD,Microwave Tower 1
In circling area and at AD,BUILDING,12.9289166666667,77.5851944444444,3209,LGTD,Jayanagar Complex
In circling area and at AD,BUILDING,12.9738888888889,77.6104722222222,3291,LGTD,Public Utility Building
