Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/TKOF08/APCH,TREE,15.8578611111111,74.60625,2497,NIL,Group of Trees
26/TKOF08/APCH,TREE,15.8582222222222,74.6089166666667,2490,NIL,Group of Trees
26/TKOF08/APCH,WALL,15.85675,74.6093611111111,2483,NIL,Airport boundary wall with fence on top (wall top-756.4)
26/APCH08/TKOF,TREE,15.8629444444444,74.6311388888889,2494,NIL,Tree
26/APCH08/TKOF,TREE,15.8630833333333,74.6317777777778,2508,NIL,Tree
26/APCH08/TKOF,TREE,15.8616944444444,74.6336111111111,2499,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8618888888889,74.6382777777778,2534,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8616388888889,74.6321666666667,2505,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8616388888889,74.6326388888889,2490,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8621666666667,74.6317777777778,2500,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8635277777778,74.632,2519,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8625277777778,74.6319722222222,2497,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8616388888889,74.6349444444445,2515,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8618333333333,74.6354444444444,2532,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.86325,74.6374166666667,2529,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8641111111111,74.6376111111111,2534,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.86125,74.6384166666667,2547,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.8633888888889,74.6406388888889,2550,NIL,Group of Trees
26/APCH08/TKOF,OTHER,15.8616388888889,74.6273055555556,2456,NIL,Mobile road traffic (road elev-743.5 + 5M traffic HT)
26/APCH08/TKOF,POLE,15.8618333333333,74.6274166666667,2463,NIL,Electric Pole
26/APCH08/TKOF,POLE,15.8619166666667,74.6278611111111,2460,NIL,Electric pole
26/APCH08/TKOF,POLE,15.8621388888889,74.6281666666667,2459,NIL,Electric pole
26/APCH08/TKOF,POLE,15.8794444444444,74.7069722222222,3029,NIL,Cell phone Mast
26/APCH08/TKOF,NATURAL HIGHPOINT,15.8761944444444,74.7019444444445,2944,NIL,Hill Top
In circling area and at AD,OTHER,15.8568611111111,74.6097777777778,2486,NIL,Security guard hut
In circling area and at AD,POLE,15.8559722222222,74.6096388888889,2494,NIL,Electric Pole
In circling area and at AD,TREE,15.8555833333333,74.6078611111111,2517,NIL,Group of Trees
In circling area and at AD,TREE,15.8584722222222,74.6091944444444,2487,NIL,Group of Trees
In circling area and at AD,TREE,15.8585833333333,74.6091666666667,2507,NIL,Group of Trees
In circling area and at AD,TREE,15.859,74.6088611111111,2488,NIL,Group of Trees
In circling area and at AD,OTHER,15.8569444444444,74.6098055555556,2486,NIL,Mobile road traffic (road elev-752.6 + 5.0 M Traffic HT)
In circling area and at AD,OTHER,15.8576388888889,74.6096388888889,2477,NIL,Approach Light
In circling area and at AD,TREE,15.8616666666667,74.6255833333333,2474,NIL,Tree
In circling area and at AD,TREE,15.859,74.6264722222222,2499,NIL,Tree
In circling area and at AD,TREE,15.8586388888889,74.6272222222222,2511,NIL,Tree
In circling area and at AD,OTHER,15.8616111111111,74.6255555555556,2461,NIL,Security hut
In circling area and at AD,POLE,15.8595,74.6281944444444,2460,NIL,Electric Pole
In circling area and at AD,OTHER,15.8615833333333,74.6265555555556,2464,NIL,Mobile road traffic (road elev-746.1 + 5.0 M Traffic HT)
In circling area and at AD,WALL,15.8616388888889,74.6265833333333,2452,NIL,Airport boundary wall with fence on top (wall top-747.0)
In circling area and at AD,WALL,15.8619444444444,74.6256111111111,2456,NIL,Airport boundary wall with fencing on top
In circling area and at AD,POLE,15.8620277777778,74.6256111111111,2470,NIL,Electric Pole
In circling area and at AD,POLE,15.8621944444444,74.6251666666667,2471,NIL,Electric Pole
In circling area and at AD,POLE,15.8618888888889,74.6260555555556,2471,NIL,Electric Pole
In circling area and at AD,POLE,15.8617222222222,74.6264722222222,2471,NIL,Electric Pole
In circling area and at AD,POLE,15.86175,74.6269444444444,2467,NIL,Electric Pole
In circling area and at AD,TREE,15.8625277777778,74.6263333333333,2480,NIL,Group of Trees
In circling area and at AD,POLE,15.8615555555556,74.6266388888889,2457,NIL,Light Pole
In circling area and at AD,OTHER,15.86,74.6267777777778,2466,NIL,Mobile road traffic (road elev-746.6 + 5 M Traffic HT)
In circling area and at AD,WALL,15.8599444444444,74.6269722222222,2460,NIL,Airport boundary wall with fencing on top
In circling area and at AD,TREE,15.8589444444444,74.6286111111111,2495,NIL,Tree
In circling area and at AD,OTHER,15.8615555555556,74.6216944444444,2491,NIL,Met Observatory
In circling area and at AD,OTHER,15.8603611111111,74.6153333333333,2504,NIL,W.D.I
26/APCH08/TKOF,ANTENNA,15.8793055555556,74.7066944444445,3115,NIL,Cell Phone Mast
