Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/TKOF08/APCH,OTHER,16.5296666666667,80.7880277777778,95,NIL,Mobile Road Traffic
26/TKOF08/APCH,OTHER,16.5263333333333,80.7832222222222,131,NIL,OHWT
26/TKOF08/APCH,OTHER,16.5303055555556,80.7888055555556,91,NIL,Mobile Road Traffic
26/TKOF08/APCH,OTHER,16.5285833333333,80.7868055555556,100,NIL,Mobile Road Traffic
26/TKOF08/APCH,POLE,16.5293888888889,80.7873333333333,101,NIL,Electric Pole
26/TKOF08/APCH,TREE,16.5287777777778,80.7862777777778,112,NIL,Group of Trees
26/TKOF08/APCH,POLE,16.5298333333333,80.7878611111111,99,NIL,Electric Pole
26/TKOF08/APCH,OTHER,16.5285555555556,80.7874722222222,99,NIL,Lightening Arrester Rod
26/APCH08/TKOF,OTHER,16.5353611111111,80.812,78,NIL,Mobile Road Traffic
In circling area and at AD,TREE,16.5309166666667,80.7880833333333,125,NIL,Group of Trees
In circling area and at AD,TREE,16.5303611111111,80.7868055555556,129,NIL,Group of Trees
In circling area and at AD,TREE,16.5339166666667,80.8054444444444,140,NIL,Group of Trees
In circling area and at AD,TREE,16.531,80.8075,136,NIL,Group of Trees
In circling area and at AD,TREE,16.5346666666667,80.8081111111111,120,NIL,Group of Trees
In circling area and at AD,OTHER,16.5339444444444,80.8073055555556,75,NIL,GP Hut
In circling area and at AD,TREE,16.5338333333333,80.8026111111111,126,NIL,Group of Trees
In circling area and at AD,WALL,16.53375,80.8052777777778,78,NIL,Airport BDRY Wall with F/T
In circling area and at AD,TREE,16.5340277777778,80.8043055555556,109,NIL,Group of Trees
In circling area and at AD,TREE,16.5340833333333,80.8068333333333,124,NIL,Group of Trees
In circling area and at AD,BUILDING,16.53475,80.8075,108,NIL,House
In circling area and at AD,OTHER,16.5421111111111,80.8064166666667,251,NIL,Cell Phone Mast
In circling area and at AD,POLE,16.535,80.8101111111111,84,NIL,Electric Pole
In circling area and at AD,POLE,16.5352222222222,80.8111944444444,86,NIL,Electric Pole
In circling area and at AD,TREE,16.5357222222222,80.8114722222222,115,NIL,Group of Trees
In circling area and at AD,TREE,16.5361944444444,80.8130833333333,112,NIL,Group of Trees
In circling area and at AD,TREE,16.532,80.8114722222222,109,NIL,Group of Trees
In circling area and at AD,TREE,16.5316666666667,80.8086388888889,87,NIL,Group of Trees
In circling area and at AD,TREE,16.53075,80.8053055555555,118,NIL,Group of Trees
In circling area and at AD,POLE,16.5322777777778,80.8114166666667,75,NIL,Electric Pole
In circling area and at AD,BUILDING,16.5300833333333,80.8035555555555,110,NIL,College Building
In circling area and at AD,TREE,16.5303888888889,80.8036666666667,131,NIL,Group of Trees
In circling area and at AD,TREE,16.5300833333333,80.8022777777778,151,NIL,Group of Trees
In circling area and at AD,BUILDING,16.5342777777778,80.8073611111111,93,NIL,Temple
In circling area and at AD,TREE,16.5327777777778,80.8033333333333,90,NIL,Tree
In circling area and at AD,BUILDING,16.5359166666667,80.8121944444444,126,NIL,House Top
In circling area and at AD,BUILDING,16.5410833333333,80.8061666666667,274,NIL,Cell Phone Tower
In circling area and at AD,POLE,16.5291666666667,80.7965277777778,92,NIL,Light Pole
In circling area and at AD,POLE,16.5290555555556,80.7960555555556,91,NIL,Light Pole
In circling area and at AD,OTHER,16.5291111111111,80.7956388888889,98,NIL,WDI
In circling area and at AD,POLE,16.5289166666667,80.7955277777778,92,NIL,Light Pole
In circling area and at AD,POLE,16.5288333333333,80.7949166666667,92,NIL,Light Pole
In circling area and at AD,POLE,16.52825,80.7934444444444,149,LGTD,Beacon on ATC-Top
In circling area and at AD,OTHER,16.6570833333333,80.7604722222222,705,NIL,Hill Top
In circling area and at AD,OTHER,16.6139166666667,80.6917222222222,715,NIL,Hill Top
In circling area and at AD,OTHER,16.6383611111111,80.7663055555556,656,NIL,Hill Top
