Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
23/TKOF05/APCH,OTHER,11.0219166666667,77.0344444444444,1329,NIL,Approach Light
23/TKOF05/APCH,TREE,11.0209166666667,77.0322777777778,1347,NIL,Tree
23/TKOF05/APCH,OTHER,11.0214166666667,77.0325833333333,1341,NIL,Mobile Road Traffic
23/TKOF05/APCH,OTHER,11.0199166666667,77.0333055555556,1350,NIL,Pole Top on LOC Hut
23/TKOF05/APCH,BUILDING,11.0206944444444,77.0351944444444,1334,NIL,House
23/TKOF05/APCH,POLE,11.0207222222222,77.0348333333333,1341,NIL,Electric Pole
23/TKOF05/APCH,TREE,11.0205555555556,77.0346388888889,1346,NIL,Group of Trees
23/TKOF05/APCH,TREE,11.0222222222222,77.0325833333333,1371,NIL,Group of Trees
23/APCH05/TKOF,OTHER,11.0437222222222,77.0558333333333,1295,NIL,Hut
23/APCH05/TKOF,OTHER,11.0425833333333,77.0547222222222,1288,NIL,Mobile Road Traffic
23/APCH05/TKOF,WALL,11.0427777777778,77.0540277777778,1284,NIL,Fence Top on Compound Wall
23/APCH05/TKOF,OTHER,11.0427222222222,77.0539722222222,1291,NIL,Mobile Road Traffic
23/APCH05/TKOF,TREE,11.0449444444444,77.0556944444444,1313,NIL,Group of Trees
23/APCH05/TKOF,POLE,11.0448055555556,77.056,1298,NIL,Electric Pole
23/APCH05/TKOF,TREE,11.0433055555556,77.0577777777778,1316,NIL,Group of Trees
23/APCH05/TKOF,OTHER,11.0457222222222,77.0563611111111,1313,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0454444444444,77.0569722222222,1306,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0458888888889,77.0566388888889,1313,NIL,Water Tank on BLDG
23/APCH05/TKOF,TREE,11.04425,77.0585833333333,1327,NIL,Group of Trees
23/APCH05/TKOF,OTHER,11.0456111111111,77.0573333333333,1309,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0459166666667,77.0570555555556,1316,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0456944444444,77.0573333333333,1311,NIL,Water Tank on BLDG
23/APCH05/TKOF,TREE,11.0457777777778,77.0579166666667,1321,NIL,Group of Trees
23/APCH05/TKOF,OTHER,11.0461388888889,77.0576388888889,1315,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0465277777778,77.0573333333333,1316,NIL,Water Tank on BLDG
23/APCH05/TKOF,TREE,11.0460555555556,77.0578611111111,1323,NIL,Group of Trees
23/APCH05/TKOF,OTHER,11.0463888888889,77.0578888888889,1316,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0466944444444,77.0578055555555,1321,NIL,Water Tank on BLDG
23/APCH05/TKOF,OTHER,11.0423888888889,77.0544444444444,1282,NIL,Fence Top on Wall
In circling area and at AD,OTHER,11.0308333333333,77.0400555555556,1368,NIL,Flood Light
In circling area and at AD,OTHER,11.0313611111111,77.0405833333333,1365,NIL,Flood Light
In circling area and at AD,OTHER,11.0318611111111,77.0414722222222,1351,NIL,Flood Light
In circling area and at AD,OTHER,11.03125,77.0426944444444,1307,NIL,W.D.I.
