Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
RWY 29/TKOFRWY 11/APCH,TREE,14.51575,78.7638888888889,452,NIL,Tree
RWY 29/APCHRWY 11/TKOF,TREE,14.5156388888889,78.7618611111111,453,NIL,Group ofTrees
RWY 29/APCHRWY 11/TKOF,TREE,14.51425,78.7618611111111,454,NIL,Group ofTrees
RWY 29/APCHRWY 11/TKOF,OTHER,14.51425,78.7618611111111,454,NIL,APP Light
In circling area and at AD,TREE,14.5159444444444,78.7642777777778,453,NIL,Group ofTrees
In circling area and at AD,OTHER,14.5152222222222,78.7658333333333,459,NIL,W.D.I
In circling area and at AD,OTHER,14.5112777777778,78.7783611111111,454,NIL,W.D.I
In circling area and at AD,TREE,14.511,78.7818888888889,465,NIL,Group ofTrees
In circling area and at AD,OTHER,14.4801111111111,78.733,838,NIL,Air Mast
In circling area and at AD,NATURAL HIGHPOINT,14.5468055555556,78.8909166666667,1808,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.5632777777778,78.8891944444445,1778,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.5639166666667,78.8799166666667,1749,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.5931388888889,78.3385,1857,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.6037777777778,78.82275,1562,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.40725,78.6934166666667,1037,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.4010555555556,78.7316944444444,1083,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.4736944444444,78.8916388888889,1257,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.5606666666667,78.8623333333333,1060,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.6114722222222,78.8162222222222,1401,NIL,Hill Top
In circling area and at AD,NATURAL HIGHPOINT,14.6168333333333,78.8480277777778,1296,NIL,Hill Top
