Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/TKOF08/APCH,TREE,15.3611944444444,75.0679444444444,2254,NIL,Group of Trees
26/TKOF08/APCH,ANTENNA,15.3617222222222,75.0757777777778,2195,NIL,DVOR Antenna (building top 666.5M)
26/TKOF08/APCH,BUILDING,15.3580555555556,75.0711388888889,2217,NIL,Building (Gowdown)
26/TKOF08/APCH,BUILDING,15.35825,75.0713888888889,2217,NIL,Building
26/TKOF08/APCH,TREE,15.3591388888889,75.0690833333333,2238,NIL,Group of Trees
26/TKOF08/APCH,POLE,15.3584166666667,75.073,2216,NIL,Electric pole
26/TKOF08/APCH,OTHER,15.3585,75.0719166666667,2206,NIL,Mobile road traffic (road elev.667.4 M+5M mobile traffic)
26/TKOF08/APCH,OTHER,15.3590555555556,75.0765,2190,NIL,Wire fencing top
26/TKOF08/APCH,OTHER,15.3581944444444,75.0733333333333,2206,NIL,Mobile road traffic (road elev.667.5 M+5M mobile traffic)
26/TKOF08/APCH,POLE,15.3587777777778,75.0709166666667,2214,NIL,Electric Pole
26/TKOF08/APCH,OTHER,15.3616666666667,75.0759444444444,2208,NIL,Lightning conductor top
26/TKOF08/APCH,OTHER,15.3615277777778,75.0752222222222,2180,NIL,Security hut
26/TKOF08/APCH,POLE,15.3586111111111,75.0706666666667,2215,NIL,Electric pole
26/TKOF08/APCH,TREE,15.3594722222222,75.0665,2244,NIL,Group of Trees
26/TKOF08/APCH,TREE,15.3586111111111,75.0688611111111,2243,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.3641111111111,75.09425,2188,NIL,Group of Trees
26/APCH08/TKOF,TREE,15.3633055555556,75.0941111111111,2181,NIL,Group of Trees
26/APCH08/TKOF,OTHER,15.3618888888889,75.0941944444444,2150,NIL,Security hut
26/APCH08/TKOF,TREE,15.3618333333333,75.0949444444444,2188,NIL,Group of Trees
In circling area and at AD,TREE,15.3579444444444,75.0735,2271,NIL,Group of Trees
In circling area and at AD,OTHER,15.3683611111111,75.0437222222222,2375,NIL,O. H. W. T
In circling area and at AD,POLE,15.3580555555556,75.0736666666667,2215,NIL,Electric pole
In circling area and at AD,TREE,15.3576666666667,75.0745,2263,NIL,Group of Trees
In circling area and at AD,OTHER,15.3680833333333,75.0461666666667,2346,NIL,Pylon mast
In circling area and at AD,BUILDING,15.3686388888889,75.0393055555556,2384,NIL,Temple on Hillock
In circling area and at AD,TREE,15.3619166666667,75.0770833333333,2190,NIL,Group of Trees
In circling area and at AD,ANTENNA,15.3618055555556,75.0758055555555,2201,NIL,DVOR DME Antenna top
In circling area and at AD,OTHER,15.3621666666667,75.0491944444444,2374,NIL,Mast
In circling area and at AD,ANTENNA,15.3620833333333,75.0750833333333,2202,NIL,DVOR monitor Antenna
In circling area and at AD,POLE,15.3608333333333,75.09275,2173,NIL,Electric pole
In circling area and at AD,POLE,15.3609444444444,75.0937222222222,2160,NIL,Electric pole
In circling area and at AD,POLE,15.3639166666667,75.0931666666667,2159,NIL,Electric pole
In circling area and at AD,POLE,15.3606111111111,75.0910833333333,2176,NIL,Electric pole
In circling area and at AD,POLE,15.3607222222222,75.0918333333333,2174,NIL,Electric pole
In circling area and at AD,OTHER,15.3609444444444,75.0906388888889,2159,NIL,Security hut
In circling area and at AD,POLE,15.3637222222222,75.0918333333333,2151,NIL,Electric pole
In circling area and at AD,BUILDING,15.3594722222222,75.0916666666667,2218,NIL,Building
In circling area and at AD,TREE,15.3601666666667,75.0923611111111,2203,NIL,Group of Trees
In circling area and at AD,POLE,15.3607222222222,75.0935833333333,2171,NIL,Electric pole
In circling area and at AD,POLE,15.3607777777778,75.0944444444444,2169,NIL,Electric pole
In circling area and at AD,POLE,15.3770277777778,75.1287222222222,2439,NIL,Flood light pole
In circling area and at AD,BUILDING,15.3764722222222,75.1291666666667,2403,NIL,Temple
In circling area and at AD,POLE,15.3638055555556,75.0924722222222,2150,NIL,Electric pole
In circling area and at AD,ANTENNA,15.3766944444444,75.1289722222222,2456,NIL,Antenna on VHF mast on hill top
In circling area and at AD,OTHER,15.3621388888889,75.0492222222222,2374,NIL,Mast
In circling area and at AD,OTHER,15.4138333333333,75.0415277777778,2669,NIL,Mast
In circling area and at AD,OTHER,15.3859166666667,75.0818888888889,2363,NIL,Cell Phone mast
In circling area and at AD,BUILDING,15.3859166666667,75.0845,2330,NIL,H T tower
In circling area and at AD,OTHER,15.3890277777778,75.1045555555555,2321,NIL,Mast
In circling area and at AD,ANTENNA,15.3766666666667,75.1289444444444,2456,NIL,Antenna on VHF mast on hill Top
In circling area and at AD,ANTENNA,15.3592222222222,75.0867222222222,2246,NIL,Antenna (GAGAN)
In circling area and at AD,OTHER,15.35925,75.08675,2233,NIL,ATC tower antenna top beacon top
In circling area and at AD,OTHER,15.3622222222222,75.0859166666667,2174,NIL,W.D. I
