Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,FENCE,17.4521666666667,78.45425,1743,NIL,FENCING
27/TKOF09/APCH,FENCE,17.4530833333333,78.4541944444445,1741,NIL,WIRE FENCE
27/TKOF09/APCH,BRIDGE,17.4540555555556,78.45375,1744,NIL,BRIDGE TOP
27/TKOF09/APCH,BUILDING,17.4535833333333,78.4519166666667,1756,NIL,DISUSED HUT
27/TKOF09/APCH,OTHER,17.4535833333333,78.4515277777778,1758,NIL,LLZ HUT
27/TKOF09/APCH,POLE,17.45425,78.4506388888889,1775,NIL,ELECT. POLE
27/TKOF09/APCH,OTHER,17.45325,78.4507777777778,1764,NIL,MOB.RD. TFC.
27/TKOF09/APCH,POLE,17.4519444444444,78.4509722222222,1771,NIL,RLY ELECT. POLE
27/TKOF09/APCH,POLE,17.4525,78.4508333333333,1773,NIL,RLY ELECT. POLE
27/TKOF09/APCH,POLE,17.4527222222222,78.4508055555556,1776,LGTD,POLE (LIGHTED)
27/TKOF09/APCH,POLE,17.453,78.4507222222222,1777,NIL,RLY ELECT POLE
27/TKOF09/APCH,BUILDING,17.4532222222222,78.4507777777778,1764,NIL,BUILDING
27/TKOF09/APCH,POLE,17.4535833333333,78.4506666666667,1775,LGTD,POLE (LIGHTED)
27/TKOF09/APCH,POLE,17.4541111111111,78.4505,1779,NIL,RLY ELECT POLE
27/TKOF09/APCH,WALL,17.4543333333333,78.4503055555556,1768,NIL,BOUND WALL
27/TKOF09/APCH,BUILDING,17.4538333333333,78.4497222222222,1780,NIL,FACTORY
27/TKOF09/APCH,BUILDING,17.4529444444444,78.4500833333333,1776,NIL,CHURCH
27/TKOF09/APCH,POLE,17.4535833333333,78.4506111111111,1777,NIL,RLY ELECT POLE
27/TKOF09/APCH,POLE,17.4526388888889,78.4495833333333,1775,NIL,ELECT. POLE
27/TKOF09/APCH,BUILDING,17.4527222222222,78.4496666666667,1781,NIL,BLDG. TOP
27/TKOF09/APCH,OTHER,17.4523333333333,78.4501944444444,1781,NIL,PIPE ON BLDG
27/TKOF09/APCH,OTHER,17.4522222222222,78.4501388888889,1780,NIL,PIPE ON BLDG
27/TKOF09/APCH,OTHER,17.4520277777778,78.45,1782,NIL,PIPE ON BLDG
27/TKOF09/APCH,OTHER,17.4518888888889,78.4499166666667,1787,NIL,PIPE ON BLDG
27/TKOF09/APCH,BUILDING,17.4517777777778,78.4496111111111,1791,NIL,BUILDING
27/TKOF09/APCH,ANTENNA,17.452,78.4495555555556,1792,NIL,ANTNA. ON BLDG
27/TKOF09/APCH,OTHER,17.4523611111111,78.4496944444444,1789,NIL,FLAG ON BLDG
27/TKOF09/APCH,BUILDING,17.4524166666667,78.44875,1799,NIL,BUILDING
27/TKOF09/APCH,BUILDING,17.4528333333333,78.4488055555556,1791,NIL,MOSQUE
27/TKOF09/APCH,TREE,17.4529444444444,78.4490555555556,1801,NIL,TREE
27/TKOF09/APCH,TANK,17.4525,78.4476944444445,1801,NIL,WATER TANK
27/TKOF09/APCH,BUILDING,17.4529722222222,78.4475,1802,NIL,BUILDING
27/TKOF09/APCH,BUILDING,17.4531388888889,78.4478611111111,1803,NIL,BUILDING
27/TKOF09/APCH,ANTENNA,17.4535833333333,78.4483888888889,1802,NIL,ANTNA ON BLDG
27/TKOF09/APCH,ANTENNA,17.4541944444444,78.4486944444444,1794,NIL,ANTNA ON BLDG
27/TKOF09/APCH,BUILDING,17.4543055555556,78.4478888888889,1800,NIL,BUILDING
27/TKOF09/APCH,TREE,17.4542777777778,78.4473055555556,1825,NIL,TREE
27/TKOF09/APCH,TANK,17.4534444444444,78.4468055555556,1804,NIL,WATER TANK
27/TKOF09/APCH,TREE,17.4533055555556,78.4438055555556,1827,NIL,GP OF TREES
27/TKOF09/APCH,POLE,17.4535833333333,78.4457222222222,1802,NIL,ELECT. POLE
27/TKOF09/APCH,ANTENNA,17.4542777777778,78.4464166666667,1812,NIL,ANT ON BLDG
27/TKOF09/APCH,BUILDING,17.4547222222222,78.4459444444445,1816,NIL,BUILDING
27/TKOF09/APCH,BUILDING,17.4551944444444,78.4421666666667,1832,NIL,BUILDING
27/TKOF09/APCH,BUILDING,17.4539166666667,78.4433055555556,1814,NIL,BUILDING
27/TKOF09/APCH,TREE,17.4536388888889,78.4418888888889,1825,NIL,TREE
