Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
24/TKOF06/APCH,OTHER,12.9475277777778,74.8763333333333,318,NIL,Mobile Road Traffic
24/TKOF06/APCH,OTHER,12.9490833333333,74.8757222222222,322,NIL,Mobile Road Traffic
24/TKOF06/APCH,OTHER,12.9484166666667,74.8761388888889,309,LGTD,Approach Light
24/APCH06/TKOF,TREE,12.96275,74.8981111111111,336,NIL,Group of Trees
In circling area and at AD,TREE,12.9516388888889,74.8783888888889,358,NIL,Tree
In circling area and at AD,OTHER,12.9484166666667,74.8779444444444,311,NIL,Airport Boundary Wall With Fencing Top
In circling area and at AD,OTHER,12.9478888888889,74.8770833333333,316,NIL,Mobile Road Traffic
In circling area and at AD,OTHER,12.9488055555556,74.8782222222222,327,NIL,WDI
In circling area and at AD,OTHER,12.9508333333333,74.877,321,NIL,Hut
In circling area and at AD,OTHER,12.9598055555556,74.89675,309,NIL,Mobile Road Traffic
In circling area and at AD,TREE,12.9595,74.8976666666667,348,NIL,Group of Trees
In circling area and at AD,TREE,12.9579444444444,74.8942222222222,364,NIL,Group of Trees
In circling area and at AD,OTHER,12.958,74.8935277777778,330,LGTD,WDI
In circling area and at AD,POLE,12.95825,74.8943055555556,322,NIL,Electric Pole
In circling area and at AD,ANTENNA,12.9598055555556,74.893,357,LGTD,G.P. Main Antenna
In circling area and at AD,ANTENNA,12.9601944444444,74.8935833333333,327,NIL,G.P. Monitor Antenna
In circling area and at AD,TREE,12.95825,74.8951111111111,364,NIL,Group of Trees
In circling area and at AD,ANTENNA,12.9599444444444,74.8917222222222,375,NIL,ATC Tower Antenna Top
In circling area and at AD,OTHER,12.9609722222222,74.8828333333333,335,NIL,Mobile Road Traffic
In circling area and at AD,OTHER,12.9732222222222,74.9303611111111,494,NIL,OHWT
In circling area and at AD,TREE,12.9495277777778,74.9323333333333,462,NIL,Tree
In circling area and at AD,TREE,12.9625555555556,74.8987222222222,329,NIL,Tree
In circling area and at AD,OTHER,12.9610555555556,74.8985555555556,303,NIL,AAI Boundary Wall With Fencing Top
In circling area and at AD,OTHER,12.9613611111111,74.89775,298,LGTD,Approach Light
In circling area and at AD,OTHER,12.9610833333333,74.8972777777778,302,LGTD,Approach Light
In circling area and at AD,OTHER,12.9607777777778,74.89675,305,LGTD,Approach Light
In circling area and at AD,OTHER,12.9605277777778,74.8963611111111,308,LGTD,Approach Light
In circling area and at AD,OTHER,12.9633333333333,74.8904166666667,378,LGTD,Aerodrome Beacon
In circling area and at AD,TREE,12.9604722222222,74.88775,388,NIL,Group of Trees
In circling area and at AD,ANTENNA,12.96325,74.8903611111111,394,NIL,Highest Antenna On Towers (Old)
In circling area and at AD,OTHER,12.9628333333333,74.8858611111111,330,LGTD,LLZ Hut
In circling area and at AD,OTHER,12.9629722222222,74.8880833333333,343,NIL,Smoke Chamber
In circling area and at AD,TOWER,12.96325,74.8888888888889,357,NIL,Fire Tower Old
In circling area and at AD,BUILDING,12.9631111111111,74.8895555555556,360,NIL,Terminal Building
In circling area and at AD,OTHER,12.9634166666667,74.8911388888889,357,NIL,Chimney (Power House)
In circling area and at AD,BUILDING,12.9632777777778,74.8911666666667,352,NIL,Building
In circling area and at AD,OTHER,12.9611388888889,74.8910555555556,356,NIL,WDI
In circling area and at AD,OTHER,12.9632222222222,74.8919722222222,375,NIL,Self Radiating Mast
In circling area and at AD,OTHER,12.9629722222222,74.8919444444444,342,NIL,NDB Hut
In circling area and at AD,POLE,12.96325,74.8921388888889,368,LGTD,NDB Pole
In circling area and at AD,OTHER,12.95975,74.8928611111111,329,LGTD,G.P. Hut Top
In circling area and at AD,ANTENNA,12.9598333333333,74.8929166666667,331,NIL,G.P. DME Antenna
In circling area and at AD,OTHER,12.9634444444444,74.894,336,NIL,NCC Hangar (Abandoned)
In circling area and at AD,BUILDING,12.9535,74.8865,335,NIL,Building (Madarsa)
In circling area and at AD,TREE,12.9563333333333,74.8914444444444,386,NIL,Group of Trees
In circling area and at AD,TREE,12.9575277777778,74.8875,378,NIL,Group Of Trees
In circling area and at AD,OTHER,12.9505555555556,74.8771944444444,307,NIL,Ground Elevation
In circling area and at AD,OTHER,12.9506388888889,74.8777777777778,311,NIL,Ground Elevation
In circling area and at AD,POLE,12.9555,74.89,329,NIL,Electric Pole
In circling area and at AD,OTHER,12.9609166666667,74.8861666666667,340,NIL,Hut
In circling area and at AD,OTHER,12.9565277777778,74.8877222222222,316,NIL,Hut
In circling area and at AD,TOWER,12.9590277777778,74.8882222222222,399,NIL,Fire Station Tower
In circling area and at AD,OTHER,12.9631111111111,74.8899722222222,373,NIL,Flood Light Mast
In circling area and at AD,OTHER,12.9631944444444,74.8905833333333,375,NIL,Flood Light Mast
In circling area and at AD,OTHER,12.9631944444444,74.8910833333333,375,NIL,Flood Light Mast
In circling area and at AD,TOWER,12.9236111111111,74.9006944444445,574,NIL,TV Tower
In circling area and at AD,OTHER,12.9844444444444,74.9044722222222,499,NIL,Cell Phone Mast
In circling area and at AD,OTHER,12.9268055555556,74.8935833333333,499,NIL,Cell Phone Mast
