Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
30/TKOF12/APCH,TREE,13.0034166666667,80.1611388888889,64,NIL,GP OF TREES
30/TKOF12/APCH,OTHER,13.0023055555556,80.1651944444445,47,NIL,MOB. RD. TFC
30/APCH12/TKOF,FENCE,12.9928333333333,80.1826944444445,51,NIL,FENCING
30/APCH12/TKOF,OTHER,12.9926388888889,80.1826111111111,62,NIL,MOB. RD. TFC
30/APCH12/TKOF,TREE,12.9896944444444,80.1873611111111,103,NIL,GP OF TREES
30/APCH12/TKOF,OTHER,12.9929722222222,80.18325,62,NIL,MOB. RD. TFC
30/APCH12/TKOF,FENCE,12.9935,80.1838888888889,54,NIL,WALL FENCING
30/APCH12/TKOF,FENCE,12.9930833333333,80.1831666666667,54,NIL,WALL FENCING
30/APCH12/TKOF,POLE,12.9934444444444,80.1841388888889,54,NIL,ELECT. POLE
30/APCH12/TKOF,POLE,12.993,80.1833055555556,55,NIL,ELECT. POLE
30/APCH12/TKOF,POLE,12.9927222222222,80.1828055555556,55,NIL,ELECT. POLE
30/APCH12/TKOF,TREE,12.9927222222222,80.1831944444445,71,NIL,GP OF TREES
30/APCH12/TKOF,OTHER,12.9928611111111,80.1836111111111,57,NIL,HUT
30/APCH12/TKOF,OTHER,12.9928055555556,80.1825,60,NIL,MOB. RD. TFC
30/APCH12/TKOF,POLE,12.9930555555556,80.1852222222222,61,NIL,ELECT. POLE
30/APCH12/TKOF,POLE,12.9924166666667,80.1850833333333,64,NIL,ELECT. POLE
30/APCH12/TKOF,TREE,12.9921388888889,80.1854166666667,86,NIL,GP OF TREES
30/APCH12/TKOF,TREE,12.9900277777778,80.1871111111111,94,NIL,GP OF TREES
30/APCH12/TKOF,STADIUM,12.9923333333333,80.1834444444444,55,NIL,STADIUM
25/TKOF07/APCH,TREE,12.9801944444444,80.1465,91,NIL,TREE
25/TKOF07/APCH,TREE,12.9802222222222,80.1446666666667,103,NIL,TREE
25/TKOF07/APCH,TREE,12.9803888888889,80.1435555555556,108,NIL,TREE
25/TKOF07/APCH,TREE,12.9835833333333,80.1452777777778,89,NIL,TREE
25/TKOF07/APCH,OTHER,12.9838611111111,80.1507777777778,53,NIL,MOB. RD. TFC
25/TKOF07/APCH,WALL,12.9978611111111,80.1849166666667,64,NIL,BOUND. WALL
25/TKOF07/APCH,TREE,12.9984444444444,80.1866111111111,129,NIL,TREE
25/TKOF07/APCH,TREE,12.9990277777778,80.1883888888889,95,NIL,TREE
25/TKOF07/APCH,TREE,12.9986388888889,80.1894722222222,93,NIL,TREE
25/TKOF07/APCH,OTHER,12.9959166666667,80.1884444444444,76,NIL,HOARDING
25/TKOF07/APCH,TREE,12.9958611111111,80.1893888888889,112,NIL,TREE
25/TKOF07/APCH,OTHER,12.99625,80.1900555555556,104,NIL,HOARDING
25/TKOF07/APCH,TREE,12.9984722222222,80.1895833333333,104,NIL,TREE
25/TKOF07/APCH,TREE,12.9995,80.1910277777778,114,NIL,TREE
25/TKOF07/APCH,BUILDING,13.0005555555556,80.1899722222222,111,NIL,BUILDING
25/TKOF07/APCH,TREE,13.0005277777778,80.1900277777778,116,NIL,TREE
25/TKOF07/APCH,TREE,13.0004444444444,80.1919166666667,137,NIL,TREE
25/TKOF07/APCH,TREE,13.0004444444444,80.1928611111111,130,NIL,TREE
25/TKOF07/APCH,TANK,13.0023611111111,80.1933333333333,150,NIL,O.H.W.TANK
25/TKOF07/APCH,TREE,13.0010833333333,80.1949722222222,133,NIL,TREE
25/TKOF07/APCH,TREE,12.9993333333333,80.1892222222222,128,NIL,TREE
25/TKOF07/APCH,TREE,12.998,80.1904444444445,110,NIL,TREE
25/TKOF07/APCH,OTHER,12.9967222222222,80.1900555555556,102,NIL,HOARDING
25/TKOF07/APCH,OTHER,12.99625,80.1897777777778,105,NIL,HOARDING
25/TKOF07/APCH,OTHER,12.9955277777778,80.1875555555556,73,NIL,HOARDING
25/TKOF07/APCH,OTHER,12.9977222222222,80.1847222222222,56,NIL,PERIPHERY RD
25/TKOF07/APCH,POLE,12.9978611111111,80.1851666666667,74,NIL,ELECT. POLE
25/TKOF07/APCH,POLE,12.9985,80.1868888888889,74,NIL,ELECT. POLE
30/TKOF12/APCH,TREE,13.0052222222222,8.16130555555556,75,NIL,TREE
