Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,OTHER,12.2298333333333,76.6436388888889,2410,NIL,MOBILE RAIL TRAFFIC
27/TKOF09/APCH,FENCE,12.2298888888889,76.6439166666667,2402,NIL,AIRPORT BOUNDARY WALL WITH FENCE ON TOP
27/TKOF09/APCH,OTHER,12.2299166666667,76.644,2409,NIL,MOBILE ROAD TRAFFIC
27/TKOF09/APCH,FENCE,12.2300277777778,76.6435833333333,2403,NIL,AIRPORT BOUNDARY WALL WITH FENCE ON TOP
27/TKOF09/APCH,TREE,12.2302777777778,76.6432222222222,2433,NIL,TREE
27/TKOF09/APCH,FENCE,12.2303611111111,76.6431388888889,2401,NIL,AIRPORT BOUNDARY WALL WITH FENCE ON TOP
27/TKOF09/APCH,OTHER,12.2303888888889,76.6428888888889,2412,NIL,MOBILE RAIL TRAFFIC
27/TKOF09/APCH,OTHER,12.2304166666667,76.6431111111111,2407,NIL,MOBILE ROAD TRAFFIC
27/TKOF09/APCH,TREE,12.2304722222222,76.6429444444445,2427,NIL,TREE
27/TKOF09/APCH,TREE,12.2312777777778,76.6394444444445,2451,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,12.2315277777778,76.6381388888889,2447,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,12.2318888888889,76.6413611111111,2413,NIL,TREE
27/TKOF09/APCH,TREE,12.232,76.6390555555556,2458,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,12.2327777777778,76.6382777777778,2456,NIL,GROUP OF TREES
27/TKOF09/APCH,TREE,12.2327777777778,76.6394444444445,2447,NIL,GROUP OF TREES
27/TKOF09/APCH,FENCE,12.2298611111111,76.6439722222222,2402,NIL,AIRPORT BOUNDARY WALL WITH FENCE ON TOP
27/APCH09/TKOF,TREE,12.2303055555556,76.6629444444444,2365,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,12.2305555555556,76.6620277777778,2354,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,12.2305555555556,76.6638611111111,2385,NIL,GROUP OF TREES
27/APCH09/TKOF,TREE,12.2326388888889,76.6624166666667,2350,NIL,GROUP OF TREES
In circling area and at AD,POLE,12.2294722222222,76.6518888888889,2422,NIL,LIGHTENING ARRESTOR POLE
In circling area and at AD,TREE,12.2293611111111,76.6424444444445,2342,NIL,TREE
In circling area and at AD,NAVAID,12.2295833333333,76.6519444444445,2404,NIL,DVOR ANTENNA MAIN
In circling area and at AD,NAVAID,12.2296666666667,76.6519166666667,2412,NIL,DME DVOR
In circling area and at AD,NATURAL HIGHPOINT,12.2307777777778,76.6527777777778,2374,NIL,GROUND LEVEL
In circling area and at AD,NATURAL HIGHPOINT,12.2308055555556,76.6540277777778,2363,NIL,GROUND LEVEL
In circling area and at AD,OTHER,12.2308333333333,76.6546388888889,2380,NIL,WDI
In circling area and at AD,NATURAL HIGHPOINT,12.2309166666667,76.6555,2351,NIL,GROUND LEVEL
In circling area and at AD,FENCE,12.2326111111111,76.6549722222222,2362,NIL,AIRPORT BOUNDARY WALLWITH FENCE ON TOP
In circling area and at AD,TREE,12.2331666666667,76.651,2413,NIL,GROUP OF TREES
In circling area and at AD,BUILDING,12.2725277777778,76.6709444444444,3470,NIL,TEMPLE
In circling area and at AD,OTHER,12.2479722222222,76.6325555555556,2562,NIL,CELLPHONE MAST
In circling area and at AD,OTHER,12.2736944444444,76.6754722222222,3823,NIL,TV TOWER
In circling area and at AD,OTHER,12.2770555555556,76.6709166666667,3603,NIL,CELLPHONE MAST
In circling area and at AD,BUILDING,12.2784166666667,76.6710555555556,3554,NIL,PALACE
