Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
25/TKOF07/APCH,BUILDING,11.9644722222222,79.8042777777778,148,NIL,House Pipe Top
25/TKOF07/APCH,TREE,11.9644722222222,79.8050555555556,161,NIL,Group of Trees
25/TKOF07/APCH,TREE,11.9627777777778,79.8001388888889,184,NIL,Group of Trees
25/TKOF07/APCH,TREE,11.9625833333333,79.8013888888889,175,NIL,Group of Palm Trees
25/TKOF07/APCH,TREE,11.9637777777778,79.8004722222222,178,NIL,Group of Palm Trees
25/TKOF07/APCH,OTHER,11.9588055555556,79.7941666666667,258,NIL,Cell Phone Tower
25/TKOF07/APCH,TREE,11.9653333333333,79.8013611111111,184,NIL,Group of Trees
25/APCH07/TKOF,TREE,11.9713333333333,79.8205277777778,133,NIL,Tree
25/APCH07/TKOF,TREE,11.9724166666667,79.8227777777778,142,NIL,Group of Trees
25/APCH07/TKOF,TREE,11.9711944444444,79.8228888888889,149,NIL,Group of Trees
25/APCH07/TKOF,TREE,11.9717777777778,79.8215833333333,136,NIL,Group of Trees
25/APCH07/TKOF,TREE,11.97175,79.8235,143,NIL,Group of Trees
25/APCH07/TKOF,TREE,11.9750555555556,79.8253333333333,175,NIL,Group of Trees
In circling area and at AD,BUILDING,11.9650833333333,79.8066111111111,174,NIL,Residential Building
In circling area and at AD,BUILDING,11.9648055555556,79.8068055555556,168,NIL,Residential Building (double Storied)
In circling area and at AD,BUILDING,11.9666111111111,79.8096666666667,148,NIL,Old ATC Bldg. (Semi Demolished)
In circling area and at AD,TREE,11.9643888888889,79.8054166666667,161,NIL,Group of Palm Trees
In circling area and at AD,BUILDING,11.9665555555556,79.8093611111111,152,NIL,Fire Station
In circling area and at AD,TREE,11.96575,79.7978611111111,201,NIL,Group of Trees
In circling area and at AD,BUILDING,11.9584444444444,79.7951944444444,295,NIL,Cell Phone Tower
In circling area and at AD,OTHER,11.9561666666667,79.7927222222222,315,NIL,Mast
In circling area and at AD,BUILDING,11.9515555555556,79.7856111111111,300,NIL,Cell Phone Tower
In circling area and at AD,BUILDING,11.9779444444444,79.7987222222222,302,NIL,Cell Phone Tower
In circling area and at AD,BUILDING,11.9769166666667,79.7978888888889,308,NIL,Cell Phone Tower
In circling area and at AD,BUILDING,11.9775833333333,79.7821388888889,471,NIL,Microwave Tower
In circling area and at AD,BUILDING,11.96525,79.8063888888889,158,NIL,Residential Building
In circling area and at AD,POLE,11.9653055555556,79.8063888888889,155,NIL,Electric Pole
In circling area and at AD,POLE,11.9652777777778,79.8068611111111,157,NIL,Electric Pole
In circling area and at AD,BUILDING,11.9646388888889,79.806,169,NIL,Residential Building
In circling area and at AD,BUILDING,11.9645833333333,79.8056944444444,169,NIL,Residential Building
In circling area and at AD,TREE,11.9683888888889,79.8093333333333,188,NIL,Group of Trees
In circling area and at AD,TREE,11.9676944444444,79.8075277777778,165,NIL,Group of Trees
In circling area and at AD,TREE,11.9670555555556,79.80575,167,NIL,Group of Trees
In circling area and at AD,OTHER,11.9677222222222,79.8082777777778,159,NIL,W.D.I
In circling area and at AD,BUILDING,11.9694166666667,79.8123611111111,149,NIL,BUILDING
In circling area and at AD,OTHER,11.9686111111111,79.81425,139,NIL,W.D.I
In circling area and at AD,ANTENNA,11.9671111111111,79.8126944444444,156,NIL,Antenna on NDB Building
In circling area and at AD,OTHER,11.9670833333333,79.8129444444444,172,NIL,NDB Mast
In circling area and at AD,WALL,11.9686111111111,79.8168333333333,125,NIL,Airport Boundary Wall With Fencing Top
In circling area and at AD,BUILDING,11.9684444444444,79.8168333333333,134,NIL,School Building
In circling area and at AD,TREE,11.97,79.8128055555556,192,NIL,Group of Trees
In circling area and at AD,BUILDING,11.9701944444444,79.8146666666667,135,NIL,Airport Boundary Wall With Fencing Top
In circling area and at AD,BUILDING,11.9660555555556,79.8115555555556,180,LGTD,ATC Tower Lighted Top
In circling area and at AD,BUILDING,11.9705,79.8109166666667,199,NIL,Building U/C
In circling area and at AD,OTHER,11.9663611111111,79.8103888888889,147,NIL,Engg. Offices
