Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/APCH09/TKOF,BUILDING,14.1385277777778,77.8018333333333,1548,NIL,Building
27/APCH09/TKOF,BUILDING,14.1385277777778,77.8021666666667,1574,NIL,Building
27/TKOF09/APCH,NATURAL HIGHPOINT,14.1495,77.775,1597,NIL,Hill No.16
27/TKOF09/APCH,NATURAL HIGHPOINT,14.1509166666667,77.7661111111111,1653,NIL,Hill No.60
27/TKOF09/APCH,NATURAL HIGHPOINT,14.151,77.75975,1716,NIL,Hill No.62
In circling area and at AD,NATURAL HIGHPOINT,14.1733055555556,77.7905,1614,NIL,Hill No.2
In circling area and at AD,NATURAL HIGHPOINT,14.1535555555556,77.80225,1788,NIL,Hill No.5
In circling area and at AD,NATURAL HIGHPOINT,14.1570555555556,77.8050555555556,1873,NIL,Hill No.6
In circling area and at AD,NATURAL HIGHPOINT,14.1408888888889,77.8302777777778,1788,NIL,Hill No.35
In circling area and at AD,NATURAL HIGHPOINT,14.1336388888889,77.8139444444444,1732,NIL,Hill No.37
In circling area and at AD,NATURAL HIGHPOINT,14.1411944444444,77.801,1667,NIL,Hill No.36
In circling area and at AD,NATURAL HIGHPOINT,14.1245,77.7962777777778,1798,NIL,Hill No.45
In circling area and at AD,NATURAL HIGHPOINT,14.1358055555556,77.7886388888889,1759,NIL,Hill No.49
In circling area and at AD,NATURAL HIGHPOINT,14.1401388888889,77.7810555555556,1608,NIL,Hill No.55
In circling area and at AD,NATURAL HIGHPOINT,14.1238888888889,77.7600277777778,2031,NIL,Hill No.57
In circling area and at AD,NATURAL HIGHPOINT,14.1713333333333,77.7554444444444,1877,NIL,Hill No.64
In circling area and at AD,NATURAL HIGHPOINT,14.1538055555556,77.7856666666667,1693,NIL,Hill No.65
In circling area and at AD,DOME,14.1518611111111,77.7682222222222,1611,NIL,DOME SSSIHMS
In circling area and at AD,POLE,14.1499166666667,77.7846111111111,1581,LGTD,NDB MAST
In circling area and at AD,CONTROL TOWER,14.1493611111111,77.7835,1548,LGTD,Ctrl TWR
In circling area and at AD,NATURAL HIGHPOINT,14.1099444444444,77.7915833333333,2159,NIL,Hill No.48
In circling area and at AD,NATURAL HIGHPOINT,14.1936111111111,77.8013888888889,1749,NIL,Hill No.4
