Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
22/TKOF04/APCH,TREE,11.7707222222222,78.0578888888889,1033,NIL,GROUP OF TREE
22/TKOF04/APCH,TREE,11.7734444444444,78.0582777777778,1022,NIL,GROUP OF TREE
22/TKOF04/APCH,TREE,11.7735833333333,78.0579166666667,1017,NIL,GROUP OF TREE
22/APCH04/TKOF,TREE,11.7912777777778,78.0717777777778,1083,NIL,GROUP OF TREE
22/APCH04/TKOF,OTHER,11.7915833333333,78.0709722222222,1041,NIL,MOBILE (ROAD ELEV. 312.2 M + ROAD TRAFFIC TRAFFIC HT. 5 M)
22/APCH04/TKOF,TREE,11.7926388888889,78.0709444444444,1066,NIL,TREE
22/APCH04/TKOF,TREE,11.7929166666667,78.0714166666667,1060,NIL,TREE
22/APCH04/TKOF,TREE,11.7921944444444,78.0719166666667,1085,NIL,TREE
22/APCH04/TKOF,TREE,11.7937777777778,78.0713055555556,1089,NIL,TREE
22/APCH04/TKOF,TREE,11.7950833333333,78.0719722222222,1084,NIL,GROUP OF TREE
22/APCH04/TKOF,TREE,11.7949722222222,78.0732222222222,1086,NIL,GROUP OF TREE
22/APCH04/TKOF,TREE,11.7953333333333,78.0731111111111,1093,NIL,GROUP OF TREE
22/APCH04/TKOF,BUILDING,11.7916111111111,78.0710833333333,1034,NIL,HOUSE
22/APCH04/TKOF,OTHER,11.7915277777778,78.0711111111111,1041,NIL,MOBILE (ROAD ELEV. 312.2 M + ROAD TRAFFIC TRAFFIC HT. 5 M)
22/APCH04/TKOF,BUILDING,11.7913333333333,78.0718333333333,1044,NIL,TEMPLE TOP
22/APCH04/TKOF,TREE,11.7941111111111,78.0739166666667,1064,NIL,GROUP OF TREE
22/APCH04/TKOF,BUILDING,11.7914722222222,78.0715277777778,1036,NIL,HOUSE
22/APCH04/TKOF,BUILDING,11.792,78.0703055555555,1036,NIL,HOUSE
22/APCH04/TKOF,OTHER,11.7913055555556,78.0699166666667,1032,NIL,SIGN BOARD
22/APCH04/TKOF,GATE,11.7904444444444,78.0710277777778,1037,NIL,GATE
In circling area and at AD,TREE,11.7724166666667,78.059,1024,NIL,GROUP OF TREE
In circling area and at AD,TREE,11.7734722222222,78.0571944444444,1016,NIL,GROUP OF TREE
In circling area and at AD,TREE,11.7783055555556,78.0604444444444,1035,NIL,GROUP OF TREE
In circling area and at AD,TREE,11.7775833333333,78.0600277777778,1027,NIL,GROUP OF TREE
In circling area and at AD,TREE,11.7761111111111,78.059,1054,NIL,GROUP OF TREE
In circling area and at AD,TREE,11.7754166666667,78.0608333333333,1027,NIL,GROUP OF TREE
In circling area and at AD,BUILDING,11.7753888888889,78.0609166666667,1003,NIL,HOUSE
In circling area and at AD,TANK,11.7759444444444,78.0615277777778,1015,NIL,OHWT
In circling area and at AD,POLE,11.7761111111111,78.0613611111111,1010,NIL,ELECTRIC POLE
In circling area and at AD,TREE,11.7759722222222,78.0612222222222,1015,NIL,GROUP OF TREE
In circling area and at AD,WALL,11.7755277777778,78.0607777777778,995,NIL,AIRPORT BOUNDARY WALL WITH F/T
In circling area and at AD,TREE,11.7762222222222,78.0586388888889,1052,NIL,GROUP OF TREE
In circling area and at AD,WALL,11.7913333333333,78.06975,1037,NIL,AIRPORT BOUNDARY WALL WITH F
In circling area and at AD,WALL,11.7903611111111,78.0711666666667,1038,NIL,AIRPORT BOUNDARY WALL WITH F/T
