Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
26/TKOF08/APCH,TREE,13.6315833333333,79.5321111111111,355,NIL,TREE
26/TKOF08/APCH,TREE,13.6308333333333,79.5279444444444,384,NIL,TREE
In circling area and at AD,NATURAL HIGHPOINT,13.7166666666667,79.5655,2247,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.709,79.5768888888889,1985,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.6198333333333,79.6483888888889,2759,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.5164444444444,79.6265555555556,3425,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.52275,79.5915555555555,2913,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.5324444444444,79.5670277777778,2405,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.5279166666667,79.4598611111111,2474,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.7078888888889,79.49725,994,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.5918888888889,79.6588888888889,2713,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.6708888888889,79.4774166666667,1319,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.6713055555556,79.4433888888889,1903,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.6788333333333,79.5293055555556,692,NIL,HILL
In circling area and at AD,NATURAL HIGHPOINT,13.6540555555556,79.3621111111111,3248,NIL,HILL
In circling area and at AD,TOWER,13.6873888888889,79.3231111111111,4065,NIL,TV TOWER ONHILL
In circling area and at AD,NATURAL HIGHPOINT,13.6668888888889,79.396,2677,NIL,HILL
In circling area and at AD,OTHER,13.616,79.7343055555556,2808,LGTD,SOLAR LGT
