Runway Area Affected,Obstacle Type,Latitude,Longitude,Elevation( in FT),Marking,Remarks
27/TKOF09/APCH,BUILDING,10.7648333333333,78.7050277777778,299,NIL,LOC BLDG.
27/TKOF09/APCH,WALL,10.7655277777778,78.7048333333333,295,NIL,BOUND. WALL
27/APCH09/TKOF,WALL,10.7654166666667,78.7235555555556,280,NIL,BOUND. WALL
27/TKOF09/APCH,BUILDING,10.7640833333333,78.7048055555556,300,NIL,HOUSE
27/TKOF09/APCH,OTHER,10.7640555555556,78.7051111111111,301,NIL,MOB. RD. TFC
27/TKOF09/APCH,POLE,10.7639722222222,78.7050277777778,307,NIL,POLE
27/APCH09/TKOF,OTHER,10.7675,78.7231666666667,282,NIL,SEC. HUT
27/TKOF09/APCH,OTHER,10.7660833333333,78.7042222222222,299,NIL,HOARDING
27/TKOF09/APCH,POLE,10.7665833333333,78.7042777777778,323,NIL,ELECT. POLE
27/TKOF09/APCH,TREE,10.7666388888889,78.7042222222222,330,NIL,TREE
27/TKOF09/APCH,POLE,10.7665555555556,78.7037222222222,304,NIL,ELECT. POLE
27/TKOF09/APCH,ANTENNA,10.7654166666667,78.7049722222222,297,NIL,LOC ANTENNA
27/TKOF09/APCH,OTHER,10.7638611111111,78.7048611111111,308,NIL,HOARDING
27/TKOF09/APCH,TREE,10.76625,78.7022222222222,322,NIL,TREE
27/TKOF09/APCH,POLE,10.7664166666667,78.7042222222222,308,NIL,ELECT. POLE
27/APCH09/TKOF,TREE,10.7675555555556,78.7235555555556,307,NIL,TREE
27/TKOF09/APCH,OTHER,10.7641666666667,78.7050277777778,306,NIL,HOARDING
27/APCH09/TKOF,TREE,10.75175,78.7288888888889,317,NIL,TREE
