RunwayAreaAffected,ObstacleType, Latitude, Longitude,Elevation,Marking,Remarks
22/TKOF04/APCH,POLE,221936.0N,0731252.6E,146,NIL,Electric Pole
22/TKOF04/APCH,ANTENNA,221940.0N,0731302.6E,127,NIL,LOC MONITOR 
22/TKOF04/APCH,POLE,221935.8N,0731253.7E,145,NIL,ELECTRIC POLE
22/TKOF04/APCH,POLE,221937.4N,0731253.3E,145,NIL,ELECTRIC POLE
22/TKOF04/APCH,BUILDING,221932.0N,0731302.6E,141,NIL,TEMPLE
22/TKOF04/APCH,OTHER,221937.3N,0731303.7E,139,NIL,MOBILE ROAD 
22/TKOF04/APCH,POLE,221936.9N,0731255.4E,144,NIL,Electric Pole
22/TKOF04/APCH,BUILDING,221939.9N,0731258.5E,151,NIL,LOC HUT
22/TKOF04/APCH,BUILDING,221933.7N,0731259.8E,144,NIL,BUILDING
22/TKOF04/APCH,HEAT COOL SYSTEM,221928.2N,0731254.6E,159,NIL,VENTILATION 
22/TKOF04/APCH,POLE,221933.1N,0731259.5E,146,NIL,LIGHT POST
22/TKOF04/APCH,BUILDING,221939.7N,0731253.7E,146,NIL,BUILDING
22/TKOF04/APCH,POLE,221934.4N,0731300.5E,145,NIL,LIGHT POST
22/TKOF04/APCH,OTHER,221931.8N,0731251.8E,160,NIL,VENTILATION 
22/TKOF04/APCH,POLE,221930.5N,0731301.1E,154,NIL,ELECTRIC POLE
22/TKOF04/APCH,POLE,221936.8N,0731249.6E,161,NIL,ELECTRIC POLE
22/TKOF04/APCH,TREE,221934.1N,0731259.8E,157,NIL,TREE
22/TKOF04/APCH,TREE,221934.7N,0731258.2E,166,NIL,TREE
22/TKOF04/APCH,TREE,221935.0N,0731257.1E,168,NIL,TREE
22/TKOF04/APCH,OTHER,221934.1N,0731301.1E,139,NIL,MOBILE ROAD 
22/TKOF04/APCH,POLE,221935.1N,0731258.8E,141,NIL,LIGHT POST
22/TKOF04/APCH,POLE,221936.2N,0731255.5E,144,NIL,LIGHT POST
22/TKOF04/APCH,OTHER,221926.4N,0731255.1E,159,NIL,VENTILATION 
22/TKOF04/APCH,BUILDING,221929.2N,0731256.4E,156,NIL,BUILDING
22/TKOF04/APCH,POLE,221932.3N,0731302.1E,146,NIL,ELECTRIC POLE
22/TKOF04/APCH,OTHER,221937.3N,0731303.7E,137,NIL,MOBILE ROAD 
22/TKOF04/APCH,POLE,221930.9N,0731259.0E,156,NIL,ELECTRIC POLE
22/TKOF04/APCH,OTHER,221931.4N,0731301.5E,158,NIL,VENTILATION 
22/TKOF04/APCH,OTHER,221929.3N,0731256.5E,170,NIL,MAST ON 
22/TKOF04/APCH,TREE,221934.6N,0731302.0E,155,NIL,GROUP OF TREES
22/TKOF04/APCH,TREE,221939.4N,0731254.2E,169,NIL,GROUP OF TREES
22/TKOF04/APCH,BUILDING,221932.6N,0731302.6E,183,NIL,NISHANSAHIB 
22/APCH04/TKOF,TREE,222055.9N,0731412.9E,162,NIL,TREE
22/APCH04/TKOF,POLE,222050.8N,0731408.6E,151,NIL,LIGHT POST
22/APCH04/TKOF,TREE,222056.1N,0731427.5E,188,NIL,GROUP OF TREES
22/APCH04/TKOF,POLE,222051.2N,0731409.3E,159,NIL,LIGHT POST
22/APCH04/TKOF,OTHER,222056.1N,0731414.1E,174,NIL,HOARDING
22/APCH04/TKOF,TREE,222107.1N,0731426.2E,226,NIL,GROUP OF TREES
22/APCH04/TKOF,OTHER,222107.0N,0731423.7E,240,NIL,MAST ON 
In circling area and at AD,TOWER,221925.4N,0731104.7E,395,NIL,MICROWAVE 
In circling area and at AD,BUILDING,221928.5N,0731300.2E,148,NIL,BUILDING
In circling area and at AD,OTHER,221938.1N,0731250.2E,155,NIL,HOARDING
In circling area and at AD,OTHER,221931.6N,0731303.2E,147,NIL,WATER TANK ON 
In circling area and at AD,TREE,221930.7N,0731304.1E,167,NIL,TREE
In circling area and at AD,POLE,221943.2N,0731258.1E,139,NIL,LIGHT POST
In circling area and at AD,BUILDING,221935.7N,0731307.0E,149,NIL,STRUCTURE
