0,1,2,3,4,5
In Approach/Take-off/Circling Area and at AD,,,,,
1,2,3,4,5,6
RWY/Area affected,Obstacle type,Coordinates,Elevation,Marking/LGT,Remarks
23/TKOF 05/APCH,OTHER,230356.4N 0723718.9E,181 FT,NIL,Approach Light
23/TKOF 05/APCH,TREE,230347.8N 0723702.0E,228 FT,NIL,Tree
23/TKOF 05/APCH,TREE,230344.5N 0723659.4E,231 FT,NIL,Group of Trees
23/TKOF 05/APCH,TREE,230336.1N 0723705.4E,237 FT,NIL,Tree
23/TKOF 05/APCH,TREE,230345.6N 0723710.4E,221 FT,NIL,Tree
23/TKOF 05/APCH,OTHER,230355.7N 0723714.0E,192 FT,NIL,Mobile road traffic
23/TKOF 05/APCH,TREE,230339.8N 0723704.7E,229 FT,NIL,Tree
23/TKOF 05/APCH,TREE,230339.9N 0723653.9E,246 FT,NIL,Tree
23/TKOF 05/APCH,TOWER,230328.5N 0723645.6E,280 FT,NIL,Chimney
23/TKOF 05/APCH,OTHER,230345.8N 0723713.2E,207 FT,NIL,Light Pole
23/TKOF 05/APCH,TREE,230345.7N 0723713.0E,214 FT,NIL,Group of trees
23/TKOF 05/APCH,TREE,230349.4N 0723704.5E,218 FT,NIL,Group of trees
23/TKOF 05/APCH,OTHER,230329.6N 0723656.8E,264 FT,NIL,Cellphone mast on Goverdhan Apartment
23/TKOF 05/APCH,TREE,230337.4N 0723650.9E,252 FT,NIL,Group of trees
23/APCH 05/TKOF,WALL,230521.5N 0723853.5E,205 FT,NIL,Airport BDRY Wall with F/T
23/APCH 05/TKOF,OTHER,230522.0N 0723852.8E,207 FT,NIL,Mobile road traffic
23/APCH 05/TKOF,WALL,230523.0N 0723852.0E,205 FT,NIL,Airport B.Wall with F/T
23/APCH 05/TKOF,TREE,230521.1N 0723854.4E,227 FT,NIL,Tree
23/APCH 05/TKOF,TREE,230524.3N 0723858.2E,223 FT,NIL,Tree
23/APCH 05/TKOF,OTHER,230518.3N 0723848.7E,190 FT,NIL,Approach Light
23/APCH 05/TKOF,OTHER,230519.0N 0723849.4E,190 FT,NIL,Approach Light
23/APCH 05/TKOF,BUILDING,230521.7N 0723857.0E,211 FT,NIL,Shed
23/APCH 05/TKOF,TREE,230533.0N 0723910.7E,244 FT,NIL,Group of trees
23/APCH 05/TKOF,OTHER,230522.8N 0723851.6E,202 FT,NIL,Iron sign board
In circling area and at AD,TREE,230343.6N 0723712.9E,220 FT,NIL,Tree
